0x12121	0x3000
0x1224C	0x00AC
0x1224D	0x21D2
0x1224E	0x21D4
0x1224F	0x2200
0x12250	0x2203
0x12251	0x2295
0x12252	0x2296
0x12253	0x2297
0x12254	0x2225
0x12255	0x2226
0x12256	0xFF5F
0x12257	0xFF60
0x12258	0x3018
0x12259	0x3019
0x1225A	0x3016
0x1225B	0x3017
0x1225C	0x2220
0x1225D	0x22A5
0x1225E	0x2312
0x1225F	0x2202
0x12260	0x2207
0x12261	0x2261
0x12262	0x2252
0x12263	0x226A
0x12264	0x226B
0x12265	0x221A
0x12266	0x223D
0x12267	0x221D
0x12268	0x2235
0x12269	0x222B
0x1226A	0x222C
0x1226B	0x2262
0x1226C	0x2243
0x1226D	0x2245
0x1226E	0x2248
0x1226F	0x2276
0x12270	0x2277
0x12271	0x2194
0x12272	0x212B
0x12273	0x2030
0x12274	0x266F
0x12275	0x266D
0x12276	0x266A
0x12277	0x2020
0x12278	0x2021
0x12279	0x00B6
0x1227A	0x266E
0x1227B	0x266B
0x1227C	0x266C
0x1227D	0x2669
0x1227E	0x25EF
0x12321	0x25B7
0x12322	0x25B6
0x12323	0x25C1
0x12324	0x25C0
0x12325	0x2197
0x12326	0x2198
0x12327	0x2196
0x12328	0x2199
0x12329	0x21C4
0x1232A	0x21E8
0x1232B	0x21E6
0x1232C	0x21E7
0x1232D	0x21E9
0x1232E	0x2934
0x1232F	0x2935
0x12330	0xFF10
0x12331	0xFF11
0x12332	0xFF12
0x12333	0xFF13
0x12334	0xFF14
0x12335	0xFF15
0x12336	0xFF16
0x12337	0xFF17
0x12338	0xFF18
0x12339	0xFF19
0x1233A	0x29BF
0x1233B	0x25C9
0x1233C	0x303D
0x1233D	0xFE46
0x1233E	0xFE45
0x1233F	0x25E6
0x12340	0x2022
0x12341	0xFF21
0x12342	0xFF22
0x12343	0xFF23
0x12344	0xFF24
0x12345	0xFF25
0x12346	0xFF26
0x12347	0xFF27
0x12348	0xFF28
0x12349	0xFF29
0x1234A	0xFF2A
0x1234B	0xFF2B
0x1234C	0xFF2C
0x1234D	0xFF2D
0x1234E	0xFF2E
0x1234F	0xFF2F
0x12350	0xFF30
0x12351	0xFF31
0x12352	0xFF32
0x12353	0xFF33
0x12354	0xFF34
0x12355	0xFF35
0x12356	0xFF36
0x12357	0xFF37
0x12358	0xFF38
0x12359	0xFF39
0x1235A	0xFF3A
0x1235B	0x2213
0x1235C	0x2135
0x1235D	0x210F
0x1235E	0x33CB
0x1235F	0x2113
0x12360	0x2127
0x12361	0xFF41
0x12362	0xFF42
0x12363	0xFF43
0x12364	0xFF44
0x12365	0xFF45
0x12366	0xFF46
0x12367	0xFF47
0x12368	0xFF48
0x12369	0xFF49
0x1236A	0xFF4A
0x1236B	0xFF4B
0x1236C	0xFF4C
0x1236D	0xFF4D
0x1236E	0xFF4E
0x1236F	0xFF4F
0x12370	0xFF50
0x12371	0xFF51
0x12372	0xFF52
0x12373	0xFF53
0x12374	0xFF54
0x12375	0xFF55
0x12376	0xFF56
0x12377	0xFF57
0x12378	0xFF58
0x12379	0xFF59
0x1237A	0xFF5A
0x1237B	0x30A0
0x1237C	0x2013
0x1237D	0x29FA
0x1237E	0x29FB
0x12421	0x3041
0x12422	0x3042
0x12423	0x3043
0x12424	0x3044
0x12425	0x3045
0x12426	0x3046
0x12427	0x3047
0x12428	0x3048
0x12429	0x3049
0x1242A	0x304A
0x1242B	0x304B
0x1242C	0x304C
0x1242D	0x304D
0x1242E	0x304E
0x1242F	0x304F
0x12430	0x3050
0x12431	0x3051
0x12432	0x3052
0x12433	0x3053
0x12434	0x3054
0x12435	0x3055
0x12436	0x3056
0x12437	0x3057
0x12438	0x3058
0x12439	0x3059
0x1243A	0x305A
0x1243B	0x305B
0x1243C	0x305C
0x1243D	0x305D
0x1243E	0x305E
0x1243F	0x305F
0x12440	0x3060
0x12441	0x3061
0x12442	0x3062
0x12443	0x3063
0x12444	0x3064
0x12445	0x3065
0x12446	0x3066
0x12447	0x3067
0x12448	0x3068
0x12449	0x3069
0x1244A	0x306A
0x1244B	0x306B
0x1244C	0x306C
0x1244D	0x306D
0x1244E	0x306E
0x1244F	0x306F
0x12450	0x3070
0x12451	0x3071
0x12452	0x3072
0x12453	0x3073
0x12454	0x3074
0x12455	0x3075
0x12456	0x3076
0x12457	0x3077
0x12458	0x3078
0x12459	0x3079
0x1245A	0x307A
0x1245B	0x307B
0x1245C	0x307C
0x1245D	0x307D
0x1245E	0x307E
0x1245F	0x307F
0x12460	0x3080
0x12461	0x3081
0x12462	0x3082
0x12463	0x3083
0x12464	0x3084
0x12465	0x3085
0x12466	0x3086
0x12467	0x3087
0x12468	0x3088
0x12469	0x3089
0x1246A	0x308A
0x1246B	0x308B
0x1246C	0x308C
0x1246D	0x308D
0x1246E	0x308E
0x1246F	0x308F
0x12470	0x3090
0x12471	0x3091
0x12472	0x3092
0x12473	0x3093
0x12474	0x3094
0x12475	0x3095
0x12476	0x3096
0x12477	0x304B 0x309A
0x12478	0x304D 0x309A
0x12479	0x304F 0x309A
0x1247A	0x3051 0x309A
0x1247B	0x3053 0x309A
0x12521	0x30A1
0x12522	0x30A2
0x12523	0x30A3
0x12524	0x30A4
0x12525	0x30A5
0x12526	0x30A6
0x12527	0x30A7
0x12528	0x30A8
0x12529	0x30A9
0x1252A	0x30AA
0x1252B	0x30AB
0x1252C	0x30AC
0x1252D	0x30AD
0x1252E	0x30AE
0x1252F	0x30AF
0x12530	0x30B0
0x12531	0x30B1
0x12532	0x30B2
0x12533	0x30B3
0x12534	0x30B4
0x12535	0x30B5
0x12536	0x30B6
0x12537	0x30B7
0x12538	0x30B8
0x12539	0x30B9
0x1253A	0x30BA
0x1253B	0x30BB
0x1253C	0x30BC
0x1253D	0x30BD
0x1253E	0x30BE
0x1253F	0x30BF
0x12540	0x30C0
0x12541	0x30C1
0x12542	0x30C2
0x12543	0x30C3
0x12544	0x30C4
0x12545	0x30C5
0x12546	0x30C6
0x12547	0x30C7
0x12548	0x30C8
0x12549	0x30C9
0x1254A	0x30CA
0x1254B	0x30CB
0x1254C	0x30CC
0x1254D	0x30CD
0x1254E	0x30CE
0x1254F	0x30CF
0x12550	0x30D0
0x12551	0x30D1
0x12552	0x30D2
0x12553	0x30D3
0x12554	0x30D4
0x12555	0x30D5
0x12556	0x30D6
0x12557	0x30D7
0x12558	0x30D8
0x12559	0x30D9
0x1255A	0x30DA
0x1255B	0x30DB
0x1255C	0x30DC
0x1255D	0x30DD
0x1255E	0x30DE
0x1255F	0x30DF
0x12560	0x30E0
0x12561	0x30E1
0x12562	0x30E2
0x12563	0x30E3
0x12564	0x30E4
0x12565	0x30E5
0x12566	0x30E6
0x12567	0x30E7
0x12568	0x30E8
0x12569	0x30E9
0x1256A	0x30EA
0x1256B	0x30EB
0x1256C	0x30EC
0x1256D	0x30ED
0x1256E	0x30EE
0x1256F	0x30EF
0x12570	0x30F0
0x12571	0x30F1
0x12572	0x30F2
0x12573	0x30F3
0x12574	0x30F4
0x12575	0x30F5
0x12576	0x30F6
0x12577	0x30AB 0x309A
0x12578	0x30AD 0x309A
0x12579	0x30AF 0x309A
0x1257A	0x30B1 0x309A
0x1257B	0x30B3 0x309A
0x1257C	0x30BB 0x309A
0x1257D	0x30C4 0x309A
0x1257E	0x30C8 0x309A
0x12621	0x0391
0x12622	0x0392
0x12623	0x0393
0x12624	0x0394
0x12625	0x0395
0x12626	0x0396
0x12627	0x0397
0x12628	0x0398
0x12629	0x0399
0x1262A	0x039A
0x1262B	0x039B
0x1262C	0x039C
0x1262D	0x039D
0x1262E	0x039E
0x1262F	0x039F
0x12630	0x03A0
0x12631	0x03A1
0x12632	0x03A3
0x12633	0x03A4
0x12634	0x03A5
0x12635	0x03A6
0x12636	0x03A7
0x12637	0x03A8
0x12638	0x03A9
0x12639	0x2664
0x1263A	0x2660
0x1263B	0x2662
0x1263C	0x2666
0x1263D	0x2661
0x1263E	0x2665
0x1263F	0x2667
0x12640	0x2663
0x12641	0x03B1
0x12642	0x03B2
0x12643	0x03B3
0x12644	0x03B4
0x12645	0x03B5
0x12646	0x03B6
0x12647	0x03B7
0x12648	0x03B8
0x12649	0x03B9
0x1264A	0x03BA
0x1264B	0x03BB
0x1264C	0x03BC
0x1264D	0x03BD
0x1264E	0x03BE
0x1264F	0x03BF
0x12650	0x03C0
0x12651	0x03C1
0x12652	0x03C3
0x12653	0x03C4
0x12654	0x03C5
0x12655	0x03C6
0x12656	0x03C7
0x12657	0x03C8
0x12658	0x03C9
0x12659	0x03C2
0x1265A	0x24F5
0x1265B	0x24F6
0x1265C	0x24F7
0x1265D	0x24F8
0x1265E	0x24F9
0x1265F	0x24FA
0x12660	0x24FB
0x12661	0x24FC
0x12662	0x24FD
0x12663	0x24FE
0x12664	0x2616
0x12665	0x2617
0x12666	0x3020
0x12667	0x260E
0x12668	0x2600
0x12669	0x2601
0x1266A	0x2602
0x1266B	0x2603
0x1266C	0x2668
0x1266D	0x25B1
0x1266E	0x31F0
0x1266F	0x31F1
0x12670	0x31F2
0x12671	0x31F3
0x12672	0x31F4
0x12673	0x31F5
0x12674	0x31F6
0x12675	0x31F7
0x12676	0x31F8
0x12677	0x31F9
0x12678	0x31F7 0x309A
0x12679	0x31FA
0x1267A	0x31FB
0x1267B	0x31FC
0x1267C	0x31FD
0x1267D	0x31FE
0x1267E	0x31FF
0x12721	0x0410
0x12722	0x0411
0x12723	0x0412
0x12724	0x0413
0x12725	0x0414
0x12726	0x0415
0x12727	0x0401
0x12728	0x0416
0x12729	0x0417
0x1272A	0x0418
0x1272B	0x0419
0x1272C	0x041A
0x1272D	0x041B
0x1272E	0x041C
0x1272F	0x041D
0x12730	0x041E
0x12731	0x041F
0x12732	0x0420
0x12733	0x0421
0x12734	0x0422
0x12735	0x0423
0x12736	0x0424
0x12737	0x0425
0x12738	0x0426
0x12739	0x0427
0x1273A	0x0428
0x1273B	0x0429
0x1273C	0x042A
0x1273D	0x042B
0x1273E	0x042C
0x1273F	0x042D
0x12740	0x042E
0x12741	0x042F
0x12742	0x23BE
0x12743	0x23BF
0x12744	0x23C0
0x12745	0x23C1
0x12746	0x23C2
0x12747	0x23C3
0x12748	0x23C4
0x12749	0x23C5
0x1274A	0x23C6
0x1274B	0x23C7
0x1274C	0x23C8
0x1274D	0x23C9
0x1274E	0x23CA
0x1274F	0x23CB
0x12750	0x23CC
0x12751	0x0430
0x12752	0x0431
0x12753	0x0432
0x12754	0x0433
0x12755	0x0434
0x12756	0x0435
0x12757	0x0451
0x12758	0x0436
0x12759	0x0437
0x1275A	0x0438
0x1275B	0x0439
0x1275C	0x043A
0x1275D	0x043B
0x1275E	0x043C
0x1275F	0x043D
0x12760	0x043E
0x12761	0x043F
0x12762	0x0440
0x12763	0x0441
0x12764	0x0442
0x12765	0x0443
0x12766	0x0444
0x12767	0x0445
0x12768	0x0446
0x12769	0x0447
0x1276A	0x0448
0x1276B	0x0449
0x1276C	0x044A
0x1276D	0x044B
0x1276E	0x044C
0x1276F	0x044D
0x12770	0x044E
0x12771	0x044F
0x12772	0x30F7
0x12773	0x30F8
0x12774	0x30F9
0x12775	0x30FA
0x12776	0x22DA
0x12777	0x22DB
0x12778	0x2153
0x12779	0x2154
0x1277A	0x2155
0x1277B	0x2713
0x1277C	0x2318
0x1277D	0x2423
0x1277E	0x23CE
0x12821	0x2500
0x12822	0x2502
0x12823	0x250C
0x12824	0x2510
0x12825	0x2518
0x12826	0x2514
0x12827	0x251C
0x12828	0x252C
0x12829	0x2524
0x1282A	0x2534
0x1282B	0x253C
0x1282C	0x2501
0x1282D	0x2503
0x1282E	0x250F
0x1282F	0x2513
0x12830	0x251B
0x12831	0x2517
0x12832	0x2523
0x12833	0x2533
0x12834	0x252B
0x12835	0x253B
0x12836	0x254B
0x12837	0x2520
0x12838	0x252F
0x12839	0x2528
0x1283A	0x2537
0x1283B	0x253F
0x1283C	0x251D
0x1283D	0x2530
0x1283E	0x2525
0x1283F	0x2538
0x12840	0x2542
0x12841	0x3251
0x12842	0x3252
0x12843	0x3253
0x12844	0x3254
0x12845	0x3255
0x12846	0x3256
0x12847	0x3257
0x12848	0x3258
0x12849	0x3259
0x1284A	0x325A
0x1284B	0x325B
0x1284C	0x325C
0x1284D	0x325D
0x1284E	0x325E
0x1284F	0x325F
0x12850	0x32B1
0x12851	0x32B2
0x12852	0x32B3
0x12853	0x32B4
0x12854	0x32B5
0x12855	0x32B6
0x12856	0x32B7
0x12857	0x32B8
0x12858	0x32B9
0x12859	0x32BA
0x1285A	0x32BB
0x1285B	0x32BC
0x1285C	0x32BD
0x1285D	0x32BE
0x1285E	0x32BF
0x12867	0x25D0
0x12868	0x25D1
0x12869	0x25D2
0x1286A	0x25D3
0x1286B	0x203C
0x1286C	0x2047
0x1286D	0x2048
0x1286E	0x2049
0x1286F	0x01CD
0x12870	0x01CE
0x12871	0x01D0
0x12872	0x1E3E
0x12873	0x1E3F
0x12874	0x01F8
0x12875	0x01F9
0x12876	0x01D1
0x12877	0x01D2
0x12878	0x01D4
0x12879	0x01D6
0x1287A	0x01D8
0x1287B	0x01DA
0x1287C	0x01DC
0x12921	0x20AC
0x12922	0x00A0
0x12923	0x00A1
0x12924	0x00A4
0x12925	0x00A6
0x12926	0x00A9
0x12927	0x00AA
0x12928	0x00AB
0x12929	0x00AD
0x1292A	0x00AE
0x1292B	0x00AF
0x1292C	0x00B2
0x1292D	0x00B3
0x1292E	0x00B7
0x1292F	0x00B8
0x12930	0x00B9
0x12931	0x00BA
0x12932	0x00BB
0x12933	0x00BC
0x12934	0x00BD
0x12935	0x00BE
0x12936	0x00BF
0x12937	0x00C0
0x12938	0x00C1
0x12939	0x00C2
0x1293A	0x00C3
0x1293B	0x00C4
0x1293C	0x00C5
0x1293D	0x00C6
0x1293E	0x00C7
0x1293F	0x00C8
0x12940	0x00C9
0x12941	0x00CA
0x12942	0x00CB
0x12943	0x00CC
0x12944	0x00CD
0x12945	0x00CE
0x12946	0x00CF
0x12947	0x00D0
0x12948	0x00D1
0x12949	0x00D2
0x1294A	0x00D3
0x1294B	0x00D4
0x1294C	0x00D5
0x1294D	0x00D6
0x1294E	0x00D8
0x1294F	0x00D9
0x12950	0x00DA
0x12951	0x00DB
0x12952	0x00DC
0x12953	0x00DD
0x12954	0x00DE
0x12955	0x00DF
0x12956	0x00E0
0x12957	0x00E1
0x12958	0x00E2
0x12959	0x00E3
0x1295A	0x00E4
0x1295B	0x00E5
0x1295C	0x00E6
0x1295D	0x00E7
0x1295E	0x00E8
0x1295F	0x00E9
0x12960	0x00EA
0x12961	0x00EB
0x12962	0x00EC
0x12963	0x00ED
0x12964	0x00EE
0x12965	0x00EF
0x12966	0x00F0
0x12967	0x00F1
0x12968	0x00F2
0x12969	0x00F3
0x1296A	0x00F4
0x1296B	0x00F5
0x1296C	0x00F6
0x1296D	0x00F8
0x1296E	0x00F9
0x1296F	0x00FA
0x12970	0x00FB
0x12971	0x00FC
0x12972	0x00FD
0x12973	0x00FE
0x12974	0x00FF
0x12975	0x0100
0x12976	0x012A
0x12977	0x016A
0x12978	0x0112
0x12979	0x014C
0x1297A	0x0101
0x1297B	0x012B
0x1297C	0x016B
0x1297D	0x0113
0x1297E	0x014D
0x12A21	0x0104
0x12A22	0x02D8
0x12A23	0x0141
0x12A24	0x013D
0x12A25	0x015A
0x12A26	0x0160
0x12A27	0x015E
0x12A28	0x0164
0x12A29	0x0179
0x12A2A	0x017D
0x12A2B	0x017B
0x12A2C	0x0105
0x12A2D	0x02DB
0x12A2E	0x0142
0x12A2F	0x013E
0x12A30	0x015B
0x12A31	0x02C7
0x12A32	0x0161
0x12A33	0x015F
0x12A34	0x0165
0x12A35	0x017A
0x12A36	0x02DD
0x12A37	0x017E
0x12A38	0x017C
0x12A39	0x0154
0x12A3A	0x0102
0x12A3B	0x0139
0x12A3C	0x0106
0x12A3D	0x010C
0x12A3E	0x0118
0x12A3F	0x011A
0x12A40	0x010E
0x12A41	0x0143
0x12A42	0x0147
0x12A43	0x0150
0x12A44	0x0158
0x12A45	0x016E
0x12A46	0x0170
0x12A47	0x0162
0x12A48	0x0155
0x12A49	0x0103
0x12A4A	0x013A
0x12A4B	0x0107
0x12A4C	0x010D
0x12A4D	0x0119
0x12A4E	0x011B
0x12A4F	0x010F
0x12A50	0x0111
0x12A51	0x0144
0x12A52	0x0148
0x12A53	0x0151
0x12A54	0x0159
0x12A55	0x016F
0x12A56	0x0171
0x12A57	0x0163
0x12A58	0x02D9
0x12A59	0x0108
0x12A5A	0x011C
0x12A5B	0x0124
0x12A5C	0x0134
0x12A5D	0x015C
0x12A5E	0x016C
0x12A5F	0x0109
0x12A60	0x011D
0x12A61	0x0125
0x12A62	0x0135
0x12A63	0x015D
0x12A64	0x016D
0x12A65	0x0271
0x12A66	0x028B
0x12A67	0x027E
0x12A68	0x0283
0x12A69	0x0292
0x12A6A	0x026C
0x12A6B	0x026E
0x12A6C	0x0279
0x12A6D	0x0288
0x12A6E	0x0256
0x12A6F	0x0273
0x12A70	0x027D
0x12A71	0x0282
0x12A72	0x0290
0x12A73	0x027B
0x12A74	0x026D
0x12A75	0x025F
0x12A76	0x0272
0x12A77	0x029D
0x12A78	0x028E
0x12A79	0x0261
0x12A7A	0x014B
0x12A7B	0x0270
0x12A7C	0x0281
0x12A7D	0x0127
0x12A7E	0x0295
0x12B21	0x0294
0x12B22	0x0266
0x12B23	0x0298
0x12B24	0x01C2
0x12B25	0x0253
0x12B26	0x0257
0x12B27	0x0284
0x12B28	0x0260
0x12B29	0x0193
0x12B2A	0x0153
0x12B2B	0x0152
0x12B2C	0x0268
0x12B2D	0x0289
0x12B2E	0x0258
0x12B2F	0x0275
0x12B30	0x0259
0x12B31	0x025C
0x12B32	0x025E
0x12B33	0x0250
0x12B34	0x026F
0x12B35	0x028A
0x12B36	0x0264
0x12B37	0x028C
0x12B38	0x0254
0x12B39	0x0251
0x12B3A	0x0252
0x12B3B	0x028D
0x12B3C	0x0265
0x12B3D	0x02A2
0x12B3E	0x02A1
0x12B3F	0x0255
0x12B40	0x0291
0x12B41	0x027A
0x12B42	0x0267
0x12B43	0x025A
0x12B44	0x00E6 0x0300
0x12B45	0x01FD
0x12B46	0x1F70
0x12B47	0x1F71
0x12B48	0x0254 0x0300
0x12B49	0x0254 0x0301
0x12B4A	0x028C 0x0300
0x12B4B	0x028C 0x0301
0x12B4C	0x0259 0x0300
0x12B4D	0x0259 0x0301
0x12B4E	0x025A 0x0300
0x12B4F	0x025A 0x0301
0x12B50	0x1F72
0x12B51	0x1F73
0x12B52	0x0361
0x12B53	0x02C8
0x12B54	0x02CC
0x12B55	0x02D0
0x12B56	0x02D1
0x12B57	0x0306
0x12B58	0x203F
0x12B59	0x030B
0x12B5A	0x0301
0x12B5B	0x0304
0x12B5C	0x0300
0x12B5D	0x030F
0x12B5E	0x030C
0x12B5F	0x0302
0x12B60	0x02E5
0x12B61	0x02E6
0x12B62	0x02E7
0x12B63	0x02E8
0x12B64	0x02E9
0x12B65	0x02E9 0x02E5
0x12B66	0x02E5 0x02E9
0x12B67	0x0325
0x12B68	0x032C
0x12B69	0x0339
0x12B6A	0x031C
0x12B6B	0x031F
0x12B6C	0x0320
0x12B6D	0x0308
0x12B6E	0x033D
0x12B6F	0x0329
0x12B70	0x032F
0x12B71	0x02DE
0x12B72	0x0324
0x12B73	0x0330
0x12B74	0x033C
0x12B75	0x0334
0x12B76	0x031D
0x12B77	0x031E
0x12B78	0x0318
0x12B79	0x0319
0x12B7A	0x032A
0x12B7B	0x033A
0x12B7C	0x033B
0x12B7D	0x0303
0x12B7E	0x031A
0x12C21	0x2776
0x12C22	0x2777
0x12C23	0x2778
0x12C24	0x2779
0x12C25	0x277A
0x12C26	0x277B
0x12C27	0x277C
0x12C28	0x277D
0x12C29	0x277E
0x12C2A	0x277F
0x12C2B	0x24EB
0x12C2C	0x24EC
0x12C2D	0x24ED
0x12C2E	0x24EE
0x12C2F	0x24EF
0x12C30	0x24F0
0x12C31	0x24F1
0x12C32	0x24F2
0x12C33	0x24F3
0x12C34	0x24F4
0x12C35	0x2170
0x12C36	0x2171
0x12C37	0x2172
0x12C38	0x2173
0x12C39	0x2174
0x12C3A	0x2175
0x12C3B	0x2176
0x12C3C	0x2177
0x12C3D	0x2178
0x12C3E	0x2179
0x12C3F	0x217A
0x12C40	0x217B
0x12C41	0x24D0
0x12C42	0x24D1
0x12C43	0x24D2
0x12C44	0x24D3
0x12C45	0x24D4
0x12C46	0x24D5
0x12C47	0x24D6
0x12C48	0x24D7
0x12C49	0x24D8
0x12C4A	0x24D9
0x12C4B	0x24DA
0x12C4C	0x24DB
0x12C4D	0x24DC
0x12C4E	0x24DD
0x12C4F	0x24DE
0x12C50	0x24DF
0x12C51	0x24E0
0x12C52	0x24E1
0x12C53	0x24E2
0x12C54	0x24E3
0x12C55	0x24E4
0x12C56	0x24E5
0x12C57	0x24E6
0x12C58	0x24E7
0x12C59	0x24E8
0x12C5A	0x24E9
0x12C5B	0x32D0
0x12C5C	0x32D1
0x12C5D	0x32D2
0x12C5E	0x32D3
0x12C5F	0x32D4
0x12C60	0x32D5
0x12C61	0x32D6
0x12C62	0x32D7
0x12C63	0x32D8
0x12C64	0x32D9
0x12C65	0x32DA
0x12C66	0x32DB
0x12C67	0x32DC
0x12C68	0x32DD
0x12C69	0x32DE
0x12C6A	0x32DF
0x12C6B	0x32E0
0x12C6C	0x32E1
0x12C6D	0x32E2
0x12C6E	0x32E3
0x12C6F	0x32FA
0x12C70	0x32E9
0x12C71	0x32E5
0x12C72	0x32ED
0x12C73	0x32EC
0x12C7D	0x2051
0x12C7E	0x2042
0x12D21	0x2460
0x12D22	0x2461
0x12D23	0x2462
0x12D24	0x2463
0x12D25	0x2464
0x12D26	0x2465
0x12D27	0x2466
0x12D28	0x2467
0x12D29	0x2468
0x12D2A	0x2469
0x12D2B	0x246A
0x12D2C	0x246B
0x12D2D	0x246C
0x12D2E	0x246D
0x12D2F	0x246E
0x12D30	0x246F
0x12D31	0x2470
0x12D32	0x2471
0x12D33	0x2472
0x12D34	0x2473
0x12D35	0x2160
0x12D36	0x2161
0x12D37	0x2162
0x12D38	0x2163
0x12D39	0x2164
0x12D3A	0x2165
0x12D3B	0x2166
0x12D3C	0x2167
0x12D3D	0x2168
0x12D3E	0x2169
0x12D3F	0x216A
0x12D40	0x3349
0x12D41	0x3314
0x12D42	0x3322
0x12D43	0x334D
0x12D44	0x3318
0x12D45	0x3327
0x12D46	0x3303
0x12D47	0x3336
0x12D48	0x3351
0x12D49	0x3357
0x12D4A	0x330D
0x12D4B	0x3326
0x12D4C	0x3323
0x12D4D	0x332B
0x12D4E	0x334A
0x12D4F	0x333B
0x12D50	0x339C
0x12D51	0x339D
0x12D52	0x339E
0x12D53	0x338E
0x12D54	0x338F
0x12D55	0x33C4
0x12D56	0x33A1
0x12D57	0x216B
0x12D5F	0x337B
0x12D60	0x301D
0x12D61	0x301F
0x12D62	0x2116
0x12D63	0x33CD
0x12D64	0x2121
0x12D65	0x32A4
0x12D66	0x32A5
0x12D67	0x32A6
0x12D68	0x32A7
0x12D69	0x32A8
0x12D6A	0x3231
0x12D6B	0x3232
0x12D6C	0x3239
0x12D6D	0x337E
0x12D6E	0x337D
0x12D6F	0x337C
0x12D73	0x222E
0x12D78	0x221F
0x12D79	0x22BF
0x12D7D	0x2756
0x12D7E	0x261E
0x12E21	0x4FF1
0x12E22	0x2000B
0x12E23	0x3402
0x12E24	0x4E28
0x12E25	0x4E2F
0x12E26	0x4E30
0x12E27	0x4E8D
0x12E28	0x4EE1
0x12E29	0x4EFD
0x12E2A	0x4EFF
0x12E2B	0x4F03
0x12E2C	0x4F0B
0x12E2D	0x4F60
0x12E2E	0x4F48
0x12E2F	0x4F49
0x12E30	0x4F56
0x12E31	0x4F5F
0x12E32	0x4F6A
0x12E33	0x4F6C
0x12E34	0x4F7E
0x12E35	0x4F8A
0x12E36	0x4F94
0x12E37	0x4F97
0x12E38	0xFA30
0x12E39	0x4FC9
0x12E3A	0x4FE0
0x12E3B	0x5001
0x12E3C	0x5002
0x12E3D	0x500E
0x12E3E	0x5018
0x12E3F	0x5027
0x12E40	0x502E
0x12E41	0x5040
0x12E42	0x503B
0x12E43	0x5041
0x12E44	0x5094
0x12E45	0x50CC
0x12E46	0x50F2
0x12E47	0x50D0
0x12E48	0x50E6
0x12E49	0xFA31
0x12E4A	0x5106
0x12E4B	0x5103
0x12E4C	0x510B
0x12E4D	0x511E
0x12E4E	0x5135
0x12E4F	0x514A
0x12E50	0xFA32
0x12E51	0x5155
0x12E52	0x5157
0x12E53	0x34B5
0x12E54	0x519D
0x12E55	0x51C3
0x12E56	0x51CA
