"Issue #","Issue Name","Meeting","Status","First released version","GitHub issue","Notes"
"[LWG3203](https://wg21.link/LWG3203)","`span` element access invalidation","2023-11 (Kona)","{{NothingToDo}}","","[#105288](https://github.com/llvm/llvm-project/issues/105288)",""
"[LWG3305](https://wg21.link/LWG3305)","`any_cast<void>`","2023-11 (Kona)","{{Complete}}","18","[#105289](https://github.com/llvm/llvm-project/issues/105289)",""
"[LWG3431](https://wg21.link/LWG3431)","`<=>` for containers should require `three_way_comparable<T>` instead of `<=>`","2023-11 (Kona)","","","[#105290](https://github.com/llvm/llvm-project/issues/105290)",""
"[LWG3749](https://wg21.link/LWG3749)","`common_iterator` should handle integer-class difference types","2023-11 (Kona)","","","[#105291](https://github.com/llvm/llvm-project/issues/105291)",""
"[LWG3809](https://wg21.link/LWG3809)","Is `std::subtract_with_carry_engine<uint16_t>` supposed to work","2023-11 (Kona)","","","[#105295](https://github.com/llvm/llvm-project/issues/105295)",""
"[LWG3892](https://wg21.link/LWG3892)","Incorrect formatting of nested ranges and tuples","2023-11 (Kona)","{{Complete}}","17","[#105296](https://github.com/llvm/llvm-project/issues/105296)",""
"[LWG3897](https://wg21.link/LWG3897)","`inout_ptr` will not update raw pointer to 0","2023-11 (Kona)","{{Complete}}","19","[#105297](https://github.com/llvm/llvm-project/issues/105297)",""
"[LWG3946](https://wg21.link/LWG3946)","The definition of `const_iterator_t` should be reworked","2023-11 (Kona)","","","[#105298](https://github.com/llvm/llvm-project/issues/105298)",""
"[LWG3947](https://wg21.link/LWG3947)","Unexpected constraints on `adjacent_transform_view::base()`","2023-11 (Kona)","{{Complete}}","22","[#105299](https://github.com/llvm/llvm-project/issues/105299)",""
"[LWG3948](https://wg21.link/LWG3948)","`possibly-const-range and as-const-pointer` should be `noexcept`","2023-11 (Kona)","","","[#105300](https://github.com/llvm/llvm-project/issues/105300)",""
"[LWG3949](https://wg21.link/LWG3949)","`std::atomic<bool>`'s trivial destructor dropped in C++17 spec wording","2023-11 (Kona)","{{NothingToDo}}","","[#105301](https://github.com/llvm/llvm-project/issues/105301)",""
"[LWG3951](https://wg21.link/LWG3951)","[expected.object.swap]: Using `value()` instead of `has_value()`","2023-11 (Kona)","{{Complete}}","16","[#105302](https://github.com/llvm/llvm-project/issues/105302)",""
"[LWG3953](https://wg21.link/LWG3953)","`iter_move` for `common_iterator` and `counted_iterator` should return `decltype(auto)`","2023-11 (Kona)","{{Complete}}","20","[#105303](https://github.com/llvm/llvm-project/issues/105303)",""
"[LWG3957](https://wg21.link/LWG3957)","[container.alloc.reqmts] The value category of v should be claimed","2023-11 (Kona)","","","[#105304](https://github.com/llvm/llvm-project/issues/105304)",""
"[LWG3965](https://wg21.link/LWG3965)","Incorrect example in [format.string.escaped] p3 for formatting of combining characters","2023-11 (Kona)","{{Complete}}","19","[#105305](https://github.com/llvm/llvm-project/issues/105305)",""
"[LWG3970](https://wg21.link/LWG3970)","[mdspan.syn] Missing definition of `full_extent_t` and `full_extent`","2023-11 (Kona)","","","[#105306](https://github.com/llvm/llvm-project/issues/105306)",""
"[LWG3973](https://wg21.link/LWG3973)","Monadic operations should be ADL-proof","2023-11 (Kona)","","","[#105307](https://github.com/llvm/llvm-project/issues/105307)",""
"[LWG3974](https://wg21.link/LWG3974)","`mdspan::operator[]` should not copy `OtherIndexTypes`","2023-11 (Kona)","{{Complete}}","23","[#105308](https://github.com/llvm/llvm-project/issues/105308)",""
"[LWG3987](https://wg21.link/LWG3987)","Including `<flat_foo>` doesn't provide `std::begin`/`end`","2023-11 (Kona)","{{Complete}}","","[#105309](https://github.com/llvm/llvm-project/issues/105309)",""
"[LWG3990](https://wg21.link/LWG3990)","Program-defined specializations of `std::tuple` and `std::variant` can't be properly supported","2023-11 (Kona)","{{Complete}}","21","[#105310](https://github.com/llvm/llvm-project/issues/105310)",""
"[LWG4001](https://wg21.link/LWG4001)","`iota_view` should provide `empty`","2023-11 (Kona)","{{Complete}}","19","[#105311](https://github.com/llvm/llvm-project/issues/105311)",""
"","","","","","",""
"[LWG3767](https://wg21.link/LWG3767)","`codecvt<charN_t, char8_t, mbstate_t>` incorrectly added to locale","2024-03 (Tokyo)","{{Complete}}","23","[#105313](https://github.com/llvm/llvm-project/issues/105313)",""
"[LWG3919](https://wg21.link/LWG3919)","`enumerate_view` may invoke UB for sized common non-forward underlying ranges","2024-03 (Tokyo)","{{Complete}}","23","[#105315](https://github.com/llvm/llvm-project/issues/105315)",""
"[LWG3950](https://wg21.link/LWG3950)","`std::basic_string_view` comparison operators are overspecified","2024-03 (Tokyo)","{{Complete}}","18","[#105316](https://github.com/llvm/llvm-project/issues/105316)",""
"[LWG3975](https://wg21.link/LWG3975)","Specializations of `basic_format_context` should not be permitted","2024-03 (Tokyo)","{{NothingToDo}}","","[#105317](https://github.com/llvm/llvm-project/issues/105317)",""
"[LWG3984](https://wg21.link/LWG3984)","`ranges::to`'s recursion branch may be ill-formed","2024-03 (Tokyo)","{{Complete}}","19","[#105318](https://github.com/llvm/llvm-project/issues/105318)",""
"[LWG4011](https://wg21.link/LWG4011)","""`Effects`: Equivalent to return"" in `[span.elem]`","2024-03 (Tokyo)","{{NothingToDo}}","","[#105319](https://github.com/llvm/llvm-project/issues/105319)",""
"[LWG4012](https://wg21.link/LWG4012)","`common_view::begin/end` are missing the `simple-view` check","2024-03 (Tokyo)","{{Complete}}","23","[#105320](https://github.com/llvm/llvm-project/issues/105320)",""
"[LWG4013](https://wg21.link/LWG4013)","`lazy_split_view::outer-iterator::value_type` should not provide default constructor","2024-03 (Tokyo)","","","[#105321](https://github.com/llvm/llvm-project/issues/105321)",""
"[LWG4016](https://wg21.link/LWG4016)","container-insertable checks do not match what container-inserter does","2024-03 (Tokyo)","{{Complete}}","20","[#105322](https://github.com/llvm/llvm-project/issues/105322)",""
"[LWG4023](https://wg21.link/LWG4023)","Preconditions of `std::basic_streambuf::setg/setp`","2024-03 (Tokyo)","{{Complete}}","19","[#105323](https://github.com/llvm/llvm-project/issues/105323)",""
"[LWG4025](https://wg21.link/LWG4025)","Move assignment operator of `std::expected<cv void, E>` should not be conditionally deleted","2024-03 (Tokyo)","{{Complete}}","20","[#105324](https://github.com/llvm/llvm-project/issues/105324)",""
"[LWG4030](https://wg21.link/LWG4030)","Clarify whether arithmetic expressions in `[numeric.sat.func]` are mathematical or C++","2024-03 (Tokyo)","{{NothingToDo}}","","[#105325](https://github.com/llvm/llvm-project/issues/105325)",""
"[LWG4031](https://wg21.link/LWG4031)","`bad_expected_access<void>` member functions should be `noexcept`","2024-03 (Tokyo)","{{Complete}}","16","[#105326](https://github.com/llvm/llvm-project/issues/105326)",""
"[LWG4035](https://wg21.link/LWG4035)","`single_view` should provide `empty`","2024-03 (Tokyo)","{{Complete}}","19","[#105328](https://github.com/llvm/llvm-project/issues/105328)",""
"[LWG4036](https://wg21.link/LWG4036)","`__alignof_is_defined` is only implicitly specified in C++ and not yet deprecated","2024-03 (Tokyo)","","","[#105329](https://github.com/llvm/llvm-project/issues/105329)",""
"[LWG4037](https://wg21.link/LWG4037)","Static data members of `ctype_base` are not yet required to be usable in constant expressions","2024-03 (Tokyo)","","","[#105330](https://github.com/llvm/llvm-project/issues/105330)",""
"[LWG4038](https://wg21.link/LWG4038)","`std::text_encoding::aliases_view` should have constexpr iterators","2024-03 (Tokyo)","{{Complete}}","23","[#105332](https://github.com/llvm/llvm-project/issues/105332)",""
"[LWG4043](https://wg21.link/LWG4043)","""ASCII"" is not a registered character encoding","2024-03 (Tokyo)","{{Complete}}","23","[#105335](https://github.com/llvm/llvm-project/issues/105335)",""
"[LWG4045](https://wg21.link/LWG4045)","`tuple` can create dangling references from `tuple-like`","2024-03 (Tokyo)","","","[#105337](https://github.com/llvm/llvm-project/issues/105337)",""
"[LWG4053](https://wg21.link/LWG4053)","Unary call to `std::views::repeat` does not decay the argument","2024-03 (Tokyo)","{{Complete}}","19","[#105338](https://github.com/llvm/llvm-project/issues/105338)",""
"[LWG4054](https://wg21.link/LWG4054)","Repeating a `repeat_view` should repeat the view","2024-03 (Tokyo)","{{Complete}}","19","[#105340](https://github.com/llvm/llvm-project/issues/105340)",""
"","","","","","",""
"[LWG3944](https://wg21.link/LWG3944)","Formatters converting sequences of `char` to sequences of `wchar_t`","2024-06 (St. Louis)","{{Complete}}","21","[#105342](https://github.com/llvm/llvm-project/issues/105342)",""
"[LWG4060](https://wg21.link/LWG4060)","`submdspan` preconditions do not forbid creating invalid pointer","2024-06 (St. Louis)","","","[#105343](https://github.com/llvm/llvm-project/issues/105343)",""
"[LWG4061](https://wg21.link/LWG4061)","Should `std::basic_format_context` be default-constructible/copyable/movable?","2024-06 (St. Louis)","{{Complete}}","19","[#105344](https://github.com/llvm/llvm-project/issues/105344)",""
"[LWG4071](https://wg21.link/LWG4071)","`reference_wrapper` comparisons are not SFINAE-friendly","2024-06 (St. Louis)","{{Complete}}","19","[#105345](https://github.com/llvm/llvm-project/issues/105345)",""
"[LWG4074](https://wg21.link/LWG4074)","`compatible-joinable-ranges` is underconstrained","2024-06 (St. Louis)","{{Complete}}","21","[#105346](https://github.com/llvm/llvm-project/issues/105346)",""
"[LWG4076](https://wg21.link/LWG4076)","`concat_view` should be freestanding","2024-06 (St. Louis)","","","[#105347](https://github.com/llvm/llvm-project/issues/105347)",""
"[LWG4079](https://wg21.link/LWG4079)","Missing Preconditions in `concat_view::iterator`\`s conversion constructor","2024-06 (St. Louis)","{{Complete}}","23","[#105348](https://github.com/llvm/llvm-project/issues/105348)",""
"[LWG4082](https://wg21.link/LWG4082)","`views::concat(r)` is well-formed when `r` is an `output_range`","2024-06 (St. Louis)","{{Complete}}","23","[#105349](https://github.com/llvm/llvm-project/issues/105349)",""
"[LWG4083](https://wg21.link/LWG4083)","`views::as_rvalue` should reject non-input ranges","2024-06 (St. Louis)","{{Complete}}","22","[#105351](https://github.com/llvm/llvm-project/issues/105351)",""
"[LWG4096](https://wg21.link/LWG4096)","`views::iota(views::iota(0))` should be rejected","2024-06 (St. Louis)","{{Complete}}","22","[#105352](https://github.com/llvm/llvm-project/issues/105352)",""
"[LWG4098](https://wg21.link/LWG4098)","`views::adjacent<0>` should reject non-forward ranges","2024-06 (St. Louis)","{{Complete}}","22","[#105353](https://github.com/llvm/llvm-project/issues/105353)",""
"[LWG4105](https://wg21.link/LWG4105)","`ranges::ends_with`\`s Returns misses difference casting","2024-06 (St. Louis)","","","[#105354](https://github.com/llvm/llvm-project/issues/105354)",""
"[LWG4106](https://wg21.link/LWG4106)","`basic_format_args` should not be default-constructible","2024-06 (St. Louis)","{{Complete}}","19","[#105355](https://github.com/llvm/llvm-project/issues/105355)",""
"","","","","","",""
"[LWG3216](https://wg21.link/LWG3216)","Rebinding the allocator before calling `construct`/`destroy` in `allocate_shared`","2024-11 (Wrocław)","","","[#118332](https://github.com/llvm/llvm-project/issues/118332)",""
"[LWG3436](https://wg21.link/LWG3436)","`std::construct_at` should support arrays","2024-11 (Wrocław)","","","[#118335](https://github.com/llvm/llvm-project/issues/118335)",""
"[LWG3886](https://wg21.link/LWG3886)","Monad mo' problems","2024-11 (Wrocław)","{{Complete}}","22","[#118336](https://github.com/llvm/llvm-project/issues/118336)",""
"[LWG3899](https://wg21.link/LWG3899)","`co_yield`ing elements of an lvalue generator is unnecessarily inefficient","2024-11 (Wrocław)","","","[#118337](https://github.com/llvm/llvm-project/issues/118337)",""
"[LWG3900](https://wg21.link/LWG3900)","The `allocator_arg_t` overloads of `generator::promise_type::operator new` should not be constrained","2024-11 (Wrocław)","","","[#118338](https://github.com/llvm/llvm-project/issues/118338)",""
"[LWG3918](https://wg21.link/LWG3918)","`std::uninitialized_move/_n` and guaranteed copy elision","2024-11 (Wrocław)","{{Complete}}","23","[#118339](https://github.com/llvm/llvm-project/issues/118339)",""
"[LWG4014](https://wg21.link/LWG4014)","LWG 3809 changes behavior of some existing `std::subtract_with_carry_engine code`","2024-11 (Wrocław)","","","[#118340](https://github.com/llvm/llvm-project/issues/118340)",""
"[LWG4024](https://wg21.link/LWG4024)","Underspecified destruction of objects created in `std::make_shared_for_overwrite`/`std::allocate_shared_for_overwrite`","2024-11 (Wrocław)","{{Complete}}","16","[#118341](https://github.com/llvm/llvm-project/issues/118341)",""
"[LWG4027](https://wg21.link/LWG4027)","`possibly-const-range` should prefer returning `const R&`","2024-11 (Wrocław)","","","[#118342](https://github.com/llvm/llvm-project/issues/118342)",""
"[LWG4044](https://wg21.link/LWG4044)","Confusing requirements for `std::print` on POSIX platforms","2024-11 (Wrocław)","","","[#118343](https://github.com/llvm/llvm-project/issues/118343)",""
"[LWG4064](https://wg21.link/LWG4064)","Clarify that `std::launder` is not needed when using the result of `std::memcpy`","2024-11 (Wrocław)","","","[#118344](https://github.com/llvm/llvm-project/issues/118344)",""
"[LWG4072](https://wg21.link/LWG4072)","`std::optional` comparisons: constrain harder","2024-11 (Wrocław)","{{Complete}}","24","[#118345](https://github.com/llvm/llvm-project/issues/118345)",""
"[LWG4084](https://wg21.link/LWG4084)","`std::fixed` ignores `std::uppercase`","2024-11 (Wrocław)","{{Complete}}","","[#118346](https://github.com/llvm/llvm-project/issues/118346)",""
"[LWG4085](https://wg21.link/LWG4085)","`ranges::generate_random`'s helper lambda should specify the return type","2024-11 (Wrocław)","","","[#118347](https://github.com/llvm/llvm-project/issues/118347)",""
"[LWG4088](https://wg21.link/LWG4088)","`println` ignores the locale imbued in `std::ostream`","2024-11 (Wrocław)","{{Complete}}","18","[#118348](https://github.com/llvm/llvm-project/issues/118348)",""
"[LWG4112](https://wg21.link/LWG4112)","`has-arrow` should required `operator->()` to be `const`-qualified","2024-11 (Wrocław)","","","[#118349](https://github.com/llvm/llvm-project/issues/118349)",""
"[LWG4113](https://wg21.link/LWG4113)","Disallow `has_unique_object_representations<Incomplete[]>`","2024-11 (Wrocław)","{{Complete}}","","[#118350](https://github.com/llvm/llvm-project/issues/118350)",""
"[LWG4119](https://wg21.link/LWG4119)","`generator::promise_type::yield_value(ranges::elements_of<R, Alloc>)`'s nested `generator` may be ill-formed","2024-11 (Wrocław)","","","[#118351](https://github.com/llvm/llvm-project/issues/118351)",""
"[LWG4124](https://wg21.link/LWG4124)","Cannot format `zoned_time` with resolution coarser than `seconds`","2024-11 (Wrocław)","","","[#118352](https://github.com/llvm/llvm-project/issues/118352)",""
"[LWG4126](https://wg21.link/LWG4126)","Some feature-test macros for fully freestanding features are not yet marked freestanding","2024-11 (Wrocław)","","","[#118353](https://github.com/llvm/llvm-project/issues/118353)",""
"[LWG4134](https://wg21.link/LWG4134)","Issue with Philox algorithm specification","2024-11 (Wrocław)","","","[#118354](https://github.com/llvm/llvm-project/issues/118354)",""
"[LWG4135](https://wg21.link/LWG4135)","The helper lambda of `std::erase` for list should specify return type as `bool`","2024-11 (Wrocław)","{{Complete}}","21","[#118355](https://github.com/llvm/llvm-project/issues/118355)",""
"[LWG4140](https://wg21.link/LWG4140)","Useless default constructors for bit reference types","2024-11 (Wrocław)","{{Complete}}","","[#118356](https://github.com/llvm/llvm-project/issues/118356)",""
"[LWG4141](https://wg21.link/LWG4141)","Improve prohibitions on ""additional storage""","2024-11 (Wrocław)","","","[#118357](https://github.com/llvm/llvm-project/issues/118357)",""
"[LWG4142](https://wg21.link/LWG4142)","`format_parse_context::check_dynamic_spec` should require at least one type","2024-11 (Wrocław)","","","[#118358](https://github.com/llvm/llvm-project/issues/118358)",""
"[LWG4144](https://wg21.link/LWG4144)","Disallow `unique_ptr<T&, D>`","2024-11 (Wrocław)","{{Complete}}","23","[#118359](https://github.com/llvm/llvm-project/issues/118359)",""
"[LWG4147](https://wg21.link/LWG4147)","Precondition on `inplace_vector::emplace`","2024-11 (Wrocław)","","","[#118361](https://github.com/llvm/llvm-project/issues/118361)",""
"[LWG4148](https://wg21.link/LWG4148)","`unique_ptr::operator*` should not allow dangling references","2024-11 (Wrocław)","{{Complete}}","24","[#118362](https://github.com/llvm/llvm-project/issues/118362)",""
"[LWG4153](https://wg21.link/LWG4153)","Fix extra ""-1"" for `philox_engine::max()`","2024-11 (Wrocław)","","","[#118363](https://github.com/llvm/llvm-project/issues/118363)",""
"[LWG4154](https://wg21.link/LWG4154)","The Mandates for `std::packaged_task`'s constructor from a callable entity should consider decaying","2024-11 (Wrocław)","","","[#118364](https://github.com/llvm/llvm-project/issues/118364)",""
"[LWG4157](https://wg21.link/LWG4157)","The resolution of LWG3465 was damaged by P2167R3","2024-11 (Wrocław)","{{Complete}}","20","[#118365](https://github.com/llvm/llvm-project/issues/118365)",""
"[LWG4164](https://wg21.link/LWG4164)","Missing guarantees for `forward_list` modifiers","2024-11 (Wrocław)","{{Complete}}","21","[#118366](https://github.com/llvm/llvm-project/issues/118366)",""
"[LWG4169](https://wg21.link/LWG4169)","`std::atomic<T>`'s default constructor should be constrained","2024-11 (Wrocław)","{{Complete}}","24","[#118367](https://github.com/llvm/llvm-project/issues/118367)",""
"[LWG4170](https://wg21.link/LWG4170)","`contiguous_iterator` should require `to_address(I{})`","2024-11 (Wrocław)","","","[#118368](https://github.com/llvm/llvm-project/issues/118368)",""
"","","","","","",""
"[LWG3578](https://wg21.link/LWG3578)","Iterator SCARYness in the context of associative container merging","2025-02 (Hagenberg)","","","[#127859](https://github.com/llvm/llvm-project/issues/127859)",""
"[LWG3956](https://wg21.link/LWG3956)","`chrono::parse` uses `from_stream` as a customization point","2025-02 (Hagenberg)","","","[#127860](https://github.com/llvm/llvm-project/issues/127860)",""
"[LWG4172](https://wg21.link/LWG4172)","`unique_lock` self-move-assignment is broken","2025-02 (Hagenberg)","{{Complete}}","22","[#127861](https://github.com/llvm/llvm-project/issues/127861)",""
"[LWG4175](https://wg21.link/LWG4175)","`get_env()` specified in terms of `as_const()` but this doesn't work with rvalue senders","2025-02 (Hagenberg)","","","[#127862](https://github.com/llvm/llvm-project/issues/127862)",""
"[LWG4179](https://wg21.link/LWG4179)","Wrong range in `[alg.search]`","2025-02 (Hagenberg)","","","[#127863](https://github.com/llvm/llvm-project/issues/127863)",""
"[LWG4186](https://wg21.link/LWG4186)","`regex_traits::transform_primary` mistakenly detects `typeid` of a function","2025-02 (Hagenberg)","","","[#127864](https://github.com/llvm/llvm-project/issues/127864)",""
"[LWG4189](https://wg21.link/LWG4189)","`cache_latest_view` should be freestanding","2025-02 (Hagenberg)","","","[#127865](https://github.com/llvm/llvm-project/issues/127865)",""
"[LWG4191](https://wg21.link/LWG4191)","P1467 changed the return type of `pow(complex<float>, int)`","2025-02 (Hagenberg)","","","[#127866](https://github.com/llvm/llvm-project/issues/127866)",""
"[LWG4196](https://wg21.link/LWG4196)","Complexity of `inplace_merge()` is incorrect","2025-02 (Hagenberg)","","","[#127867](https://github.com/llvm/llvm-project/issues/127867)",""
"","","","","","",""
"[LWG4198](https://wg21.link/LWG4198)","`schedule_from` isn't starting the schedule sender if decay-copying results throws","2025-06 (Sofia)","","","[#148188](https://github.com/llvm/llvm-project/issues/148188)",""
"[LWG4202](https://wg21.link/LWG4202)","`enable-sender` should be a variable template","2025-06 (Sofia)","","","[#148189](https://github.com/llvm/llvm-project/issues/148189)",""
"[LWG4203](https://wg21.link/LWG4203)","Constraints on `get-state` functions are incorrect","2025-06 (Sofia)","","","[#148190](https://github.com/llvm/llvm-project/issues/148190)",""
"[LWG4204](https://wg21.link/LWG4204)","specification of `as-sndr2(Sig)` in [exec.let] is incomplete","2025-06 (Sofia)","","","[#148192](https://github.com/llvm/llvm-project/issues/148192)",""
"[LWG4205](https://wg21.link/LWG4205)","`let_[*].transform_env` is specified in terms of the `let_*` sender itself instead of its child","2025-06 (Sofia)","","","[#148193](https://github.com/llvm/llvm-project/issues/148193)",""
"[LWG4208](https://wg21.link/LWG4208)","Wording needs to ensure that in `connect(sndr, rcvr)` that `rcvr` expression is only evaluated once","2025-06 (Sofia)","","","[#148194](https://github.com/llvm/llvm-project/issues/148194)",""
"[LWG4209](https://wg21.link/LWG4209)","`default_domain::transform_env` should be returning `FWD-ENV(env)`","2025-06 (Sofia)","","","[#148196](https://github.com/llvm/llvm-project/issues/148196)",""
"[LWG4188](https://wg21.link/LWG4188)","`ostream::sentry` destructor should handle exceptions","2025-06 (Sofia)","","","[#148200](https://github.com/llvm/llvm-project/issues/148200)",""
"[LWG4200](https://wg21.link/LWG4200)","The `operation_state` concept can be simplified","2025-06 (Sofia)","","","[#148201](https://github.com/llvm/llvm-project/issues/148201)",""
"[LWG4201](https://wg21.link/LWG4201)","`with-await-transform::await_transform` should not use a deduced return type","2025-06 (Sofia)","","","[#148202](https://github.com/llvm/llvm-project/issues/148202)",""
"[LWG4217](https://wg21.link/LWG4217)","Clarify `mdspan` layout mapping requirements for `rank == 0`","2025-06 (Sofia)","","","[#148203](https://github.com/llvm/llvm-project/issues/148203)",""
"[LWG4222](https://wg21.link/LWG4222)","`expected` constructor from a single value missing a constraint","2025-06 (Sofia)","{{Complete}}","22","[#148208](https://github.com/llvm/llvm-project/issues/148208)",""
"[LWG4224](https://wg21.link/LWG4224)","Philox engines should be freestanding","2025-06 (Sofia)","","","[#148210](https://github.com/llvm/llvm-project/issues/148210)",""
"[LWG4227](https://wg21.link/LWG4227)","Missing `noexcept` operator in [exec.when.all]","2025-06 (Sofia)","","","[#148211](https://github.com/llvm/llvm-project/issues/148211)",""
"[LWG4231](https://wg21.link/LWG4231)","`datapar::chunk<N>` should use `simd-size-type` instead of `size_t`","2025-06 (Sofia)","","","[#148215](https://github.com/llvm/llvm-project/issues/148215)",""
"[LWG4232](https://wg21.link/LWG4232)","`datapar::resize` does not resize","2025-06 (Sofia)","","","[#148216](https://github.com/llvm/llvm-project/issues/148216)",""
"[LWG4233](https://wg21.link/LWG4233)","The helper lambda of `std::erase` for `hive` should specify return type as `bool`","2025-06 (Sofia)","","","[#148217](https://github.com/llvm/llvm-project/issues/148217)",""
"[LWG4234](https://wg21.link/LWG4234)","Including `<hive>` doesn't provide `std::begin/end`","2025-06 (Sofia)","","","[#148218](https://github.com/llvm/llvm-project/issues/148218)",""
"[LWG4235](https://wg21.link/LWG4235)","`cache_latest_view` and `to_input_view` miss `reserve_hint`","2025-06 (Sofia)","","","[#148219](https://github.com/llvm/llvm-project/issues/148219)",""
"[LWG4236](https://wg21.link/LWG4236)","`chunk_view::outer-iterator::value_type` should provide `reserve_hint`","2025-06 (Sofia)","","","[#148220](https://github.com/llvm/llvm-project/issues/148220)",""
"[LWG4239](https://wg21.link/LWG4239)","`flat_map`'s transparent comparator no longer works for string literals","2025-06 (Sofia)","","","[#148223](https://github.com/llvm/llvm-project/issues/148223)",""
"[LWG4242](https://wg21.link/LWG4242)","`ranges::distance` does not work with volatile iterators","2025-06 (Sofia)","{{Complete}}","14","[#148224](https://github.com/llvm/llvm-project/issues/148224)",""
"[LWG4245](https://wg21.link/LWG4245)","Operators that interact with `counted_iterator` and `default_sentinel_t` should be `noexcept`","2025-06 (Sofia)","","","[#148226](https://github.com/llvm/llvm-project/issues/148226)",""
"[LWG4247](https://wg21.link/LWG4247)","Header `<stdbit.h>` is not yet freestanding","2025-06 (Sofia)","","","[#148227](https://github.com/llvm/llvm-project/issues/148227)",""
"","","","","","",""
"[LWG2991](https://wg21.link/LWG2991)","`variant copy` constructor missing `noexcept(see below)`","2025-11 (Kona)","","","[#171301](https://github.com/llvm/llvm-project/issues/171301)",""
"[LWG3090](https://wg21.link/LWG3090)","What is §[time.duration.cons]p4's ""no overflow is induced in the conversion"" intended to mean?","2025-11 (Kona)","","","[#171302](https://github.com/llvm/llvm-project/issues/171302)",""
"[LWG3343](https://wg21.link/LWG3343)","Ordering of calls to `unlock()` and `notify_all()` in Effects element of `notify_all_at_thread_exit()` should be reversed","2025-11 (Kona)","{{Complete}}","16","[#105356](https://github.com/llvm/llvm-project/issues/105356)",""
"[LWG3454](https://wg21.link/LWG3454)","`pointer_traits::pointer_to` should be `constexpr`","2025-11 (Kona)","{{Complete}}","16","[#171307](https://github.com/llvm/llvm-project/issues/171307)",""
"[LWG3627](https://wg21.link/LWG3627)","Inconsistent specifications for `std::make_optional` overloads","2025-11 (Kona)","{{Complete}}","22","[#171309](https://github.com/llvm/llvm-project/issues/171309)",""
