"Issue #","Issue Name","Meeting","Status","First released version","GitHub issue","Notes"
"[LWG3446](https://wg21.link/LWG3446)","`indirectly_readable_traits` ambiguity for types with both `value_type` and `element_type`","2020-11 (Virtual)","{{Complete}}","14","[#103998](https://github.com/llvm/llvm-project/issues/103998)",""
"[LWG3448](https://wg21.link/LWG3448)","`transform_view`'s `sentinel<false>` not comparable with `iterator<true>`","2020-11 (Virtual)","","","[#104295](https://github.com/llvm/llvm-project/issues/104295)",""
"[LWG3449](https://wg21.link/LWG3449)","`take_view` and `take_while_view`'s `sentinel<false>` not comparable with their `const iterator`","2020-11 (Virtual)","{{Complete}}","16","[#104296](https://github.com/llvm/llvm-project/issues/104296)",""
"[LWG3453](https://wg21.link/LWG3453)","Generic code cannot call `ranges::advance(i, s)`","2020-11 (Virtual)","{{NothingToDo}}","","[#104297](https://github.com/llvm/llvm-project/issues/104297)",""
"[LWG3455](https://wg21.link/LWG3455)","Incorrect Postconditions on `unique_ptr` move assignment","2020-11 (Virtual)","{{NothingToDo}}","","[#104298](https://github.com/llvm/llvm-project/issues/104298)",""
"[LWG3460](https://wg21.link/LWG3460)","Unimplementable `noop_coroutine_handle` guarantees","2020-11 (Virtual)","{{Complete}}","14","[#104299](https://github.com/llvm/llvm-project/issues/104299)",""
"[LWG3461](https://wg21.link/LWG3461)","`convertible_to`'s description mishandles cv-qualified `void`","2020-11 (Virtual)","{{NothingToDo}}","","[#104300](https://github.com/llvm/llvm-project/issues/104300)",""
"[LWG3465](https://wg21.link/LWG3465)","`compare_partial_order_fallback` requires `F < E`","2020-11 (Virtual)","{{Complete}}","14","[#104301](https://github.com/llvm/llvm-project/issues/104301)",""
"[LWG3466](https://wg21.link/LWG3466)","Specify the requirements for `promise`/`future`/`shared_future` consistently","2020-11 (Virtual)","{{NothingToDo}}","","[#104302](https://github.com/llvm/llvm-project/issues/104302)",""
"[LWG3467](https://wg21.link/LWG3467)","`bool` can't be an integer-like type","2020-11 (Virtual)","{{Complete}}","14","[#104303](https://github.com/llvm/llvm-project/issues/104303)",""
"[LWG3472](https://wg21.link/LWG3472)","`counted_iterator` is missing preconditions","2020-11 (Virtual)","{{Complete}}","14","[#104304](https://github.com/llvm/llvm-project/issues/104304)",""
"[LWG3473](https://wg21.link/LWG3473)","Normative encouragement in non-normative note","2020-11 (Virtual)","{{Complete}}","15","[#104305](https://github.com/llvm/llvm-project/issues/104305)",""
"[LWG3474](https://wg21.link/LWG3474)","Nesting `join_views` is broken because of CTAD","2020-11 (Virtual)","{{Complete}}","15","[#104306](https://github.com/llvm/llvm-project/issues/104306)",""
"[LWG3476](https://wg21.link/LWG3476)","`thread` and `jthread` constructors require that the parameters be move-constructible but never move construct the parameters","2020-11 (Virtual)","{{Complete}}","22","[#104307](https://github.com/llvm/llvm-project/issues/104307)",""
"[LWG3477](https://wg21.link/LWG3477)","Simplify constraints for `semiregular-box`","2020-11 (Virtual)","{{Complete}}","13","[#104308](https://github.com/llvm/llvm-project/issues/104308)",""
"[LWG3482](https://wg21.link/LWG3482)","`drop_view`'s const begin should additionally require `sized_range`","2020-11 (Virtual)","{{Complete}}","14","[#104309](https://github.com/llvm/llvm-project/issues/104309)",""
"[LWG3483](https://wg21.link/LWG3483)","`transform_view::iterator`'s difference is overconstrained","2020-11 (Virtual)","{{Complete}}","14","[#104310](https://github.com/llvm/llvm-project/issues/104310)",""
"","","","","","",""
"[LWG3391](https://wg21.link/LWG3391)","Problems with `counted_iterator`/`move_iterator::base() const &`","2021-02 (Virtual)","","","[#104311](https://github.com/llvm/llvm-project/issues/104311)",""
"[LWG3433](https://wg21.link/LWG3433)","`subrange::advance(n)` has UB when `n < 0`","2021-02 (Virtual)","{{Complete}}","14","[#104312](https://github.com/llvm/llvm-project/issues/104312)",""
"[LWG3490](https://wg21.link/LWG3490)","`ranges::drop_while_view::begin()` is missing a precondition","2021-02 (Virtual)","{{NothingToDo}}","","[#104313](https://github.com/llvm/llvm-project/issues/104313)",""
"[LWG3492](https://wg21.link/LWG3492)","Minimal improvements to `elements_view::iterator`","2021-02 (Virtual)","{{Complete}}","16","[#104314](https://github.com/llvm/llvm-project/issues/104314)",""
"[LWG3494](https://wg21.link/LWG3494)","Allow ranges to be conditionally borrowed","2021-02 (Virtual)","{{NothingToDo}}","","[#104315](https://github.com/llvm/llvm-project/issues/104315)","Superseded by [P2017R1](https://wg21.link/P2017R1)"
"[LWG3495](https://wg21.link/LWG3495)","`constexpr launder` makes pointers to inactive members of unions usable","2021-02 (Virtual)","{{NothingToDo}}","","[#104316](https://github.com/llvm/llvm-project/issues/104316)",""
"[LWG3500](https://wg21.link/LWG3500)","`join_view::iterator::operator->()` is bogus","2021-02 (Virtual)","{{Complete}}","14","[#104318](https://github.com/llvm/llvm-project/issues/104318)",""
"[LWG3502](https://wg21.link/LWG3502)","`elements_view` should not be allowed to return dangling reference","2021-02 (Virtual)","{{Complete}}","16","[#104319](https://github.com/llvm/llvm-project/issues/104319)",""
"[LWG3505](https://wg21.link/LWG3505)","`split_view::outer-iterator::operator++` misspecified","2021-02 (Virtual)","{{Complete}}","15","[#104320](https://github.com/llvm/llvm-project/issues/104320)",""
"","","","","","",""
"[LWG2774](https://wg21.link/LWG2774)","`std::function` construction vs assignment","2021-06 (Virtual)","","","[#104321](https://github.com/llvm/llvm-project/issues/104321)",""
"[LWG2818](https://wg21.link/LWG2818)","`::std::` everywhere rule needs tweaking","2021-06 (Virtual)","{{NothingToDo}}","","[#104322](https://github.com/llvm/llvm-project/issues/104322)",""
"[LWG2997](https://wg21.link/LWG2997)","LWG 491 and the specification of `{forward_,}list::unique`","2021-06 (Virtual)","","","[#104323](https://github.com/llvm/llvm-project/issues/104323)",""
"[LWG3410](https://wg21.link/LWG3410)","`lexicographical_compare_three_way` is overspecified","2021-06 (Virtual)","{{Complete}}","17","[#104324](https://github.com/llvm/llvm-project/issues/104324)",""
"[LWG3430](https://wg21.link/LWG3430)","`std::fstream` & co. should be constructible from string_view","2021-06 (Virtual)","{{Complete}}","19","[#104325](https://github.com/llvm/llvm-project/issues/104325)",""
"[LWG3462](https://wg21.link/LWG3462)","§[formatter.requirements]: Formatter requirements forbid use of `fc.arg()`","2021-06 (Virtual)","{{NothingToDo}}","","[#104326](https://github.com/llvm/llvm-project/issues/104326)",""
"[LWG3481](https://wg21.link/LWG3481)","`viewable_range` mishandles lvalue move-only views","2021-06 (Virtual)","{{NothingToDo}}","","[#104327](https://github.com/llvm/llvm-project/issues/104327)","Superseded by [P2415R2](https://wg21.link/P2415R2)"
"[LWG3506](https://wg21.link/LWG3506)","Missing allocator-extended constructors for `priority_queue`","2021-06 (Virtual)","{{Complete}}","14","[#104329](https://github.com/llvm/llvm-project/issues/104329)",""
"[LWG3517](https://wg21.link/LWG3517)","`join_view::iterator`'s `iter_swap` is underconstrained","2021-06 (Virtual)","{{Complete}}","14","[#104330](https://github.com/llvm/llvm-project/issues/104330)",""
"[LWG3518](https://wg21.link/LWG3518)","Exception requirements on char trait operations unclear","2021-06 (Virtual)","{{NothingToDo}}","","[#104331](https://github.com/llvm/llvm-project/issues/104331)",""
"[LWG3519](https://wg21.link/LWG3519)","Incomplete synopses for `<random>` classes","2021-06 (Virtual)","","","[#104332](https://github.com/llvm/llvm-project/issues/104332)",""
"[LWG3520](https://wg21.link/LWG3520)","`iter_move` and `iter_swap` are inconsistent for `transform_view::iterator`","2021-06 (Virtual)","{{Complete}}","14","[#104333](https://github.com/llvm/llvm-project/issues/104333)",""
"[LWG3521](https://wg21.link/LWG3521)","Overly strict requirements on `qsort` and `bsearch`","2021-06 (Virtual)","{{NothingToDo}}","","[#104334](https://github.com/llvm/llvm-project/issues/104334)",""
"[LWG3522](https://wg21.link/LWG3522)","Missing requirement on `InputIterator` template parameter for `priority_queue` constructors","2021-06 (Virtual)","{{Complete}}","14","[#104335](https://github.com/llvm/llvm-project/issues/104335)",""
"[LWG3523](https://wg21.link/LWG3523)","`iota_view::sentinel` is not always `iota_view`'s sentinel","2021-06 (Virtual)","{{Complete}}","17","[#104336](https://github.com/llvm/llvm-project/issues/104336)",""
"[LWG3526](https://wg21.link/LWG3526)","Return types of `uses_allocator_construction_args` unspecified","2021-06 (Virtual)","","","[#104337](https://github.com/llvm/llvm-project/issues/104337)",""
"[LWG3527](https://wg21.link/LWG3527)","`uses_allocator_construction_args` handles rvalue pairs of rvalue references incorrectly","2021-06 (Virtual)","","","[#104338](https://github.com/llvm/llvm-project/issues/104338)",""
"[LWG3528](https://wg21.link/LWG3528)","`make_from_tuple` can perform (the equivalent of) a C-style cast","2021-06 (Virtual)","{{Complete}}","19","[#104339](https://github.com/llvm/llvm-project/issues/104339)",""
"[LWG3529](https://wg21.link/LWG3529)","`priority_queue(first, last)` should construct `c` with `(first, last)`","2021-06 (Virtual)","{{Complete}}","14","[#104340](https://github.com/llvm/llvm-project/issues/104340)",""
"[LWG3530](https://wg21.link/LWG3530)","`BUILTIN-PTR-MEOW` should not opt the type out of syntactic checks","2021-06 (Virtual)","","","[#104341](https://github.com/llvm/llvm-project/issues/104341)",""
"[LWG3532](https://wg21.link/LWG3532)","`split_view<V, P>::inner-iterator<true>::operator++(int)` should depend on `Base`","2021-06 (Virtual)","","","[#104342](https://github.com/llvm/llvm-project/issues/104342)",""
"[LWG3533](https://wg21.link/LWG3533)","Make `base() const &` consistent across iterator wrappers that supports `input_iterators`","2021-06 (Virtual)","{{Complete}}","14","[#104343](https://github.com/llvm/llvm-project/issues/104343)",""
"[LWG3536](https://wg21.link/LWG3536)","Should `chrono::from_stream()` assign zero to duration for failure?","2021-06 (Virtual)","","","[#104344](https://github.com/llvm/llvm-project/issues/104344)",""
"[LWG3539](https://wg21.link/LWG3539)","`format_to` must not copy models of `output_iterator<const charT&>`","2021-06 (Virtual)","{{Complete}}","14","[#104345](https://github.com/llvm/llvm-project/issues/104345)",""
"[LWG3540](https://wg21.link/LWG3540)","§[format.arg] There should be no const in `basic_format_arg(const T* p)`","2021-06 (Virtual)","{{Complete}}","14","[#104348](https://github.com/llvm/llvm-project/issues/104348)",""
"[LWG3541](https://wg21.link/LWG3541)","`indirectly_readable_traits` should be SFINAE-friendly for all types","2021-06 (Virtual)","{{Complete}}","14","[#104349](https://github.com/llvm/llvm-project/issues/104349)",""
"[LWG3542](https://wg21.link/LWG3542)","`basic_format_arg` mishandles `basic_string_view` with custom traits","2021-06 (Virtual)","{{Complete}}","14","[#104350](https://github.com/llvm/llvm-project/issues/104350)",""
"[LWG3543](https://wg21.link/LWG3543)","Definition of when `counted_iterators` refer to the same sequence isn't quite right","2021-06 (Virtual)","{{NothingToDo}}","","[#104351](https://github.com/llvm/llvm-project/issues/104351)",""
"[LWG3544](https://wg21.link/LWG3544)","`format-arg-store::args` is unintentionally not exposition-only","2021-06 (Virtual)","{{Complete}}","14","[#104352](https://github.com/llvm/llvm-project/issues/104352)",""
"[LWG3546](https://wg21.link/LWG3546)","`common_iterator`'s postfix-proxy is not quite right","2021-06 (Virtual)","","","[#104353](https://github.com/llvm/llvm-project/issues/104353)",""
"[LWG3548](https://wg21.link/LWG3548)","`shared_ptr` construction from `unique_ptr` should move (not copy) the deleter","2021-06 (Virtual)","{{Complete}}","15","[#104354](https://github.com/llvm/llvm-project/issues/104354)",""
"[LWG3549](https://wg21.link/LWG3549)","`view_interface` is overspecified to derive from `view_base`","2021-06 (Virtual)","{{Complete}}","14","[#104355](https://github.com/llvm/llvm-project/issues/104355)",""
"[LWG3551](https://wg21.link/LWG3551)","`borrowed_{iterator,subrange}_t` are overspecified","2021-06 (Virtual)","{{NothingToDo}}","","[#104356](https://github.com/llvm/llvm-project/issues/104356)",""
"[LWG3552](https://wg21.link/LWG3552)","Parallel specialized memory algorithms should require forward iterators","2021-06 (Virtual)","","","[#104357](https://github.com/llvm/llvm-project/issues/104357)",""
"[LWG3553](https://wg21.link/LWG3553)","Useless constraint in `split_view::outer-iterator::value_type::begin()`","2021-06 (Virtual)","","","[#104358](https://github.com/llvm/llvm-project/issues/104358)",""
"[LWG3555](https://wg21.link/LWG3555)","`{transform,elements}_view::iterator::iterator_concept` should consider const-qualification of the underlying range","2021-06 (Virtual)","","","[#104359](https://github.com/llvm/llvm-project/issues/104359)",""
"","","","","","",""
"[LWG2191](https://wg21.link/LWG2191)","Incorrect specification of `match_results(match_results&&)`","2021-10 (Virtual)","{{NothingToDo}}","","[#104360](https://github.com/llvm/llvm-project/issues/104360)",""
"[LWG2381](https://wg21.link/LWG2381)","Inconsistency in parsing floating point numbers","2021-10 (Virtual)","{{Complete}}","19","[#104361](https://github.com/llvm/llvm-project/issues/104361)",""
"[LWG2762](https://wg21.link/LWG2762)","`unique_ptr operator*()` should be `noexcept`","2021-10 (Virtual)","{{Complete}}","19","[#104362](https://github.com/llvm/llvm-project/issues/104362)",""
"[LWG3121](https://wg21.link/LWG3121)","`tuple` constructor constraints for `UTypes&&...` overloads","2021-10 (Virtual)","","","[#104364](https://github.com/llvm/llvm-project/issues/104364)",""
"[LWG3123](https://wg21.link/LWG3123)","`duration` constructor from representation shouldn't be effectively non-throwing","2021-10 (Virtual)","","","[#104365](https://github.com/llvm/llvm-project/issues/104365)",""
"[LWG3146](https://wg21.link/LWG3146)","Excessive unwrapping in `std::ref/cref`","2021-10 (Virtual)","{{Complete}}","14","[#104366](https://github.com/llvm/llvm-project/issues/104366)",""
"[LWG3152](https://wg21.link/LWG3152)","`common_type` and `common_reference` have flaws in common","2021-10 (Virtual)","","","[#104367](https://github.com/llvm/llvm-project/issues/104367)",""
"[LWG3293](https://wg21.link/LWG3293)","`move_iterator operator+()` has incorrect constraints","2021-10 (Virtual)","{{Complete}}","15","[#104368](https://github.com/llvm/llvm-project/issues/104368)",""
"[LWG3361](https://wg21.link/LWG3361)","`safe_range<SomeRange&>` case","2021-10 (Virtual)","{{NothingToDo}}","","[#104369](https://github.com/llvm/llvm-project/issues/104369)",""
"[LWG3392](https://wg21.link/LWG3392)","`ranges::distance()` cannot be used on a move-only iterator with a sized sentinel","2021-10 (Virtual)","{{Complete}}","14","[#104370](https://github.com/llvm/llvm-project/issues/104370)",""
"[LWG3407](https://wg21.link/LWG3407)","Some problems with the wording changes of P1739R4","2021-10 (Virtual)","{{Complete}}","15","[#104371](https://github.com/llvm/llvm-project/issues/104371)",""
"[LWG3422](https://wg21.link/LWG3422)","Issues of `seed_seq`'s constructors","2021-10 (Virtual)","{{Complete}}","14","[#104372](https://github.com/llvm/llvm-project/issues/104372)",""
"[LWG3470](https://wg21.link/LWG3470)","`convertible-to-non-slicing` seems to reject valid case","2021-10 (Virtual)","{{Complete}}","14","[#104373](https://github.com/llvm/llvm-project/issues/104373)",""
"[LWG3480](https://wg21.link/LWG3480)","`directory_iterator` and `recursive_directory_iterator` are not C++20 ranges","2021-10 (Virtual)","{{Complete}}","14","[#104374](https://github.com/llvm/llvm-project/issues/104374)",""
"[LWG3498](https://wg21.link/LWG3498)","Inconsistent `noexcept`-specifiers for `basic_syncbuf`","2021-10 (Virtual)","{{Complete}}","18","[#104375](https://github.com/llvm/llvm-project/issues/104375)",""
"[LWG3535](https://wg21.link/LWG3535)","`join_view::iterator::iterator_category` and `::iterator_concept` lie","2021-10 (Virtual)","{{Complete}}","15","[#104376](https://github.com/llvm/llvm-project/issues/104376)",""
"[LWG3554](https://wg21.link/LWG3554)","`chrono::parse` needs `const charT*` and `basic_string_view<charT>` overloads","2021-10 (Virtual)","","","[#104377](https://github.com/llvm/llvm-project/issues/104377)",""
"[LWG3557](https://wg21.link/LWG3557)","The `static_cast` expression in `convertible_to` has the wrong operand","2021-10 (Virtual)","{{Complete}}","14","[#104378](https://github.com/llvm/llvm-project/issues/104378)",""
"[LWG3559](https://wg21.link/LWG3559)","Semantic requirements of `sized_range` is circular","2021-10 (Virtual)","{{NothingToDo}}","","[#104379](https://github.com/llvm/llvm-project/issues/104379)",""
"[LWG3560](https://wg21.link/LWG3560)","`ranges::equal` and `ranges::is_permutation` should short-circuit for `sized_ranges`","2021-10 (Virtual)","","","[#104380](https://github.com/llvm/llvm-project/issues/104380)",""
"[LWG3561](https://wg21.link/LWG3561)","Issue with internal counter in `discard_block_engine`","2021-10 (Virtual)","","","[#104381](https://github.com/llvm/llvm-project/issues/104381)",""
"[LWG3563](https://wg21.link/LWG3563)","`keys_view` example is broken","2021-10 (Virtual)","","","[#104382](https://github.com/llvm/llvm-project/issues/104382)",""
"[LWG3566](https://wg21.link/LWG3566)","Constraint recursion for `operator<=>(optional<T>, U)`","2021-10 (Virtual)","{{Complete}}","17","[#104383](https://github.com/llvm/llvm-project/issues/104383)",""
"[LWG3567](https://wg21.link/LWG3567)","Formatting move-only iterators take two","2021-10 (Virtual)","{{Complete}}","16","[#104384](https://github.com/llvm/llvm-project/issues/104384)",""
"[LWG3568](https://wg21.link/LWG3568)","`basic_istream_view` needs to initialize `value_`","2021-10 (Virtual)","{{Complete}}","16","[#104385](https://github.com/llvm/llvm-project/issues/104385)",""
"[LWG3570](https://wg21.link/LWG3570)","`basic_osyncstream::emit` should be an unformatted output function","2021-10 (Virtual)","{{Complete}}","18","[#104386](https://github.com/llvm/llvm-project/issues/104386)",""
"[LWG3571](https://wg21.link/LWG3571)","`flush_emit` should set `badbit` if the `emit` call fails","2021-10 (Virtual)","","","[#104387](https://github.com/llvm/llvm-project/issues/104387)",""
"[LWG3572](https://wg21.link/LWG3572)","`copyable-box` should be fully `constexpr`","2021-10 (Virtual)","{{Complete}}","14","[#104388](https://github.com/llvm/llvm-project/issues/104388)",""
"[LWG3573](https://wg21.link/LWG3573)","Missing Throws element for `basic_string_view(It begin, End end)`","2021-10 (Virtual)","{{Complete}}","14","[#104389](https://github.com/llvm/llvm-project/issues/104389)",""
"[LWG3574](https://wg21.link/LWG3574)","`common_iterator` should be completely `constexpr`-able","2021-10 (Virtual)","{{Complete}}","14","[#104931](https://github.com/llvm/llvm-project/issues/104931)",""
"[LWG3580](https://wg21.link/LWG3580)","`iota_view`'s `iterator`'s binary `operator+` should be improved","2021-10 (Virtual)","{{Complete}}","14","[#104932](https://github.com/llvm/llvm-project/issues/104932)",""
"[LWG3581](https://wg21.link/LWG3581)","The range constructor makes `basic_string_view` not trivially move constructible","2021-10 (Virtual)","{{Complete}}","14","[#104933](https://github.com/llvm/llvm-project/issues/104933)",""
"[LWG3585](https://wg21.link/LWG3585)","`variant` converting assignment with immovable alternative","2021-10 (Virtual)","{{Complete}}","4","[#104934](https://github.com/llvm/llvm-project/issues/104934)",""
"[LWG3589](https://wg21.link/LWG3589)","The `const` lvalue reference overload of `get` for `subrange` does not constrain `I` to be `copyable` when `N == 0`","2021-10 (Virtual)","{{Complete}}","14","[#104935](https://github.com/llvm/llvm-project/issues/104935)",""
"[LWG3590](https://wg21.link/LWG3590)","`split_view::base() const &` is overconstrained","2021-10 (Virtual)","{{Complete}}","16","[#104936](https://github.com/llvm/llvm-project/issues/104936)",""
"[LWG3591](https://wg21.link/LWG3591)","`lazy_split_view<input_view>::inner-iterator::base() &&` invalidates outer iterators","2021-10 (Virtual)","","","[#104937](https://github.com/llvm/llvm-project/issues/104937)",""
"[LWG3592](https://wg21.link/LWG3592)","`lazy_split_view` needs to check the simpleness of Pattern","2021-10 (Virtual)","","","[#104938](https://github.com/llvm/llvm-project/issues/104938)",""
"[LWG3593](https://wg21.link/LWG3593)","Several iterators' `base() const &` and `lazy_split_view::outer-iterator::value_type::end()` missing `noexcept`","2021-10 (Virtual)","","","[#104939](https://github.com/llvm/llvm-project/issues/104939)",""
"[LWG3595](https://wg21.link/LWG3595)","Exposition-only classes proxy and postfix-proxy for `common_iterator` should be fully `constexpr`","2021-10 (Virtual)","{{Complete}}","14","[#104940](https://github.com/llvm/llvm-project/issues/104940)",""
"","","","","","",""
"[LWG3088](https://wg21.link/LWG3088)","`forward_list::merge` behaviour unclear when passed `*this`","2022-02 (Virtual)","{{Complete}}","Yes","[#104942](https://github.com/llvm/llvm-project/issues/104942)",""
"[LWG3471](https://wg21.link/LWG3471)","`polymorphic_allocator::allocate` does not satisfy `Cpp17Allocator` requirements","2022-02 (Virtual)","","","[#104943](https://github.com/llvm/llvm-project/issues/104943)",""
"[LWG3525](https://wg21.link/LWG3525)","`uses_allocator_construction_args` fails to handle types convertible to `pair`","2022-02 (Virtual)","","","[#104944](https://github.com/llvm/llvm-project/issues/104944)",""
"[LWG3598](https://wg21.link/LWG3598)","`system_category().default_error_condition(0)` is underspecified","2022-02 (Virtual)","","","[#104945](https://github.com/llvm/llvm-project/issues/104945)",""
"[LWG3601](https://wg21.link/LWG3601)","common_iterator's postfix-proxy needs `indirectly_readable` ","2022-02 (Virtual)","","","[#104946](https://github.com/llvm/llvm-project/issues/104946)",""
"[LWG3607](https://wg21.link/LWG3607)","`contiguous_iterator` should not be allowed to have custom `iter_move` and `iter_swap` behavior","2022-02 (Virtual)","{{NothingToDo}}","","[#104947](https://github.com/llvm/llvm-project/issues/104947)",""
