"Paper #","Paper Name","Meeting","Status","First released version","GitHub issue","Notes"
"[P2637R3](https://wg21.link/P2637R3)","Member `visit`","2023-06 (Varna)","{{Complete}}","19","[#105380](https://github.com/llvm/llvm-project/issues/105380)","Change of `__cpp_lib_variant` is completed in LLVM 20. Change of `__cpp_lib_format` is blocked by [P2419R2](https://wg21.link/P2419R2)."
"[P2641R4](https://wg21.link/P2641R4)","Checking if a `union` alternative is active","2023-06 (Varna)","{{Complete}}","22","[#105381](https://github.com/llvm/llvm-project/issues/105381)",""
"[P1759R6](https://wg21.link/P1759R6)","Native handles and file streams","2023-06 (Varna)","{{Complete}}","18","[#105382](https://github.com/llvm/llvm-project/issues/105382)",""
"[P2697R1](https://wg21.link/P2697R1)","Interfacing `bitset` with `string_view`","2023-06 (Varna)","{{Complete}}","18","[#105384](https://github.com/llvm/llvm-project/issues/105384)",""
"[P1383R2](https://wg21.link/P1383R2)","More `constexpr` for `<cmath>` and `<complex>`","2023-06 (Varna)","","","[#105385](https://github.com/llvm/llvm-project/issues/105385)",""
"[P2734R0](https://wg21.link/P2734R0)","Adding the new SI prefixes","2023-06 (Varna)","{{Complete}}","17","[#105386](https://github.com/llvm/llvm-project/issues/105386)",""
"[P2548R6](https://wg21.link/P2548R6)","`copyable_function`","2023-06 (Varna)","","","[#105387](https://github.com/llvm/llvm-project/issues/105387)",""
"[P2714R1](https://wg21.link/P2714R1)","Bind front and back to NTTP callables","2023-06 (Varna)","{{Partial}}","20","[#105388](https://github.com/llvm/llvm-project/issues/105388)",""
"[P2630R4](https://wg21.link/P2630R4)","`submdspan`","2023-06 (Varna)","","","[#105389](https://github.com/llvm/llvm-project/issues/105389)",""
"","","","","","",""
"[P0543R3](https://wg21.link/P0543R3)","Saturation arithmetic","2023-11 (Kona)","{{Complete}}","18","[#105390](https://github.com/llvm/llvm-project/issues/105390)",""
"[P2407R5](https://wg21.link/P2407R5)","Freestanding Library: Partial Classes","2023-11 (Kona)","","","[#105391](https://github.com/llvm/llvm-project/issues/105391)",""
"[P2546R5](https://wg21.link/P2546R5)","Debugging Support","2023-11 (Kona)","","","[#105392](https://github.com/llvm/llvm-project/issues/105392)",""
"[P2905R2](https://wg21.link/P2905R2)","Runtime format strings","2023-11 (Kona)","{{Complete}}","18","[#105393](https://github.com/llvm/llvm-project/issues/105393)",""
"[P2918R2](https://wg21.link/P2918R2)","Runtime format strings II","2023-11 (Kona)","{{Complete}}","18","[#105394](https://github.com/llvm/llvm-project/issues/105394)",""
"[P2909R4](https://wg21.link/P2909R4)","Fix formatting of code units as integers (Dude, where’s my `char`?)","2023-11 (Kona)","{{Complete}}","18","[#105395](https://github.com/llvm/llvm-project/issues/105395)",""
"[P0952R2](https://wg21.link/P0952R2)","A new specification for `std::generate_canonical`","2023-11 (Kona)","","","[#105396](https://github.com/llvm/llvm-project/issues/105396)",""
"[P2447R6](https://wg21.link/P2447R6)","`std::span` over an initializer list","2023-11 (Kona)","{{Complete}}","18","[#105397](https://github.com/llvm/llvm-project/issues/105397)","Reverted by [P4144R1](https://wg21.link/P4144R1)."
"[P2821R5](https://wg21.link/P2821R5)","`span.at()`","2023-11 (Kona)","{{Complete}}","18","[#105399](https://github.com/llvm/llvm-project/issues/105399)",""
"[P2868R3](https://wg21.link/P2868R3)","Remove Deprecated `std::allocator` Typedef From C++26","2023-11 (Kona)","{{Complete}}","18","[#105400](https://github.com/llvm/llvm-project/issues/105400)",""
"[P2870R3](https://wg21.link/P2870R3)","Remove `basic_string::reserve()` From C++26","2023-11 (Kona)","{{Complete}}","18","[#105401](https://github.com/llvm/llvm-project/issues/105401)",""
"[P2871R3](https://wg21.link/P2871R3)","Remove Deprecated Unicode Conversion Facets from C++26","2023-11 (Kona)","{{Complete}}","18","[#105402](https://github.com/llvm/llvm-project/issues/105402)",""
"[P2819R2](https://wg21.link/P2819R2)","Add tuple protocol to complex","2023-11 (Kona)","{{Complete}}","19","[#105403](https://github.com/llvm/llvm-project/issues/105403)",""
"[P2937R0](https://wg21.link/P2937R0)","Freestanding: Remove `strtok`","2023-11 (Kona)","","","[#105404](https://github.com/llvm/llvm-project/issues/105404)",""
"[P2833R2](https://wg21.link/P2833R2)","Freestanding Library: inout expected span","2023-11 (Kona)","","","[#105405](https://github.com/llvm/llvm-project/issues/105405)",""
"[P2836R1](https://wg21.link/P2836R1)","`std::basic_const_iterator` should follow its underlying type's convertibility","2023-11 (Kona)","","","[#105406](https://github.com/llvm/llvm-project/issues/105406)",""
"[P2264R7](https://wg21.link/P2264R7)","Make `assert()` macro user friendly for C and C++","2023-11 (Kona)","","","[#105407](https://github.com/llvm/llvm-project/issues/105407)",""
"[P1673R13](https://wg21.link/P1673R13)","A free function linear algebra interface based on the BLAS","2023-11 (Kona)","","","[#105408](https://github.com/llvm/llvm-project/issues/105408)",""
"","","","","","",""
"[P2875R4](https://wg21.link/P2875R4)","Undeprecate `polymorphic_allocator::destroy` for C++26","2024-03 (Tokyo)","{{Complete}}","15","[#105410](https://github.com/llvm/llvm-project/issues/105410)",""
"[P2867R2](https://wg21.link/P2867R2)","Remove Deprecated `strstreams` From C++26","2024-03 (Tokyo)","{{Complete}}","19","[#105411](https://github.com/llvm/llvm-project/issues/105411)",""
"[P2869R4](https://wg21.link/P2869R4)","Remove Deprecated `shared_ptr` Atomic Access APIs from C++26","2024-03 (Tokyo)","","","[#105412](https://github.com/llvm/llvm-project/issues/105412)",""
"[P2872R3](https://wg21.link/P2872R3)","Remove `wstring_convert` From C++26","2024-03 (Tokyo)","{{Complete}}","19","[#105413](https://github.com/llvm/llvm-project/issues/105413)",""
"[P3107R5](https://wg21.link/P3107R5)","Permit an efficient implementation of `std::print`","2024-03 (Tokyo)","","","[#105414](https://github.com/llvm/llvm-project/issues/105414)",""
"[P3142R0](https://wg21.link/P3142R0)","Printing Blank Lines with `println`","2024-03 (Tokyo)","{{Complete}}","19","[#105415](https://github.com/llvm/llvm-project/issues/105415)","Implemented as a DR against C++23."
"[P2845R8](https://wg21.link/P2845R8)","Formatting of `std::filesystem::path`","2024-03 (Tokyo)","","","[#105416](https://github.com/llvm/llvm-project/issues/105416)",""
"[P0493R5](https://wg21.link/P0493R5)","Atomic minimum/maximum","2024-03 (Tokyo)","{{Complete}}","24","[#105418](https://github.com/llvm/llvm-project/issues/105418)",""
"[P2542R8](https://wg21.link/P2542R8)","`views::concat`","2024-03 (Tokyo)","{{Complete}}","23","[#105419](https://github.com/llvm/llvm-project/issues/105419)",""
"[P2591R5](https://wg21.link/P2591R5)","Concatenation of strings and string views","2024-03 (Tokyo)","{{Complete}}","19","[#105420](https://github.com/llvm/llvm-project/issues/105420)",""
"[P2248R8](https://wg21.link/P2248R8)","Enabling list-initialization for algorithms","2024-03 (Tokyo)","","","[#105421](https://github.com/llvm/llvm-project/issues/105421)",""
"[P2810R4](https://wg21.link/P2810R4)","`is_debugger_present` `is_replaceable`","2024-03 (Tokyo)","","","[#105422](https://github.com/llvm/llvm-project/issues/105422)",""
"[P1068R11](https://wg21.link/P1068R11)","Vector API for random number generation","2024-03 (Tokyo)","","","[#105423](https://github.com/llvm/llvm-project/issues/105423)",""
"[P2944R3](https://wg21.link/P2944R3)","Comparisons for `reference_wrapper`","2024-03 (Tokyo)","{{Complete}}","22","[#105424](https://github.com/llvm/llvm-project/issues/105424)","The changes to `tuple`'s equality overload from P2165R4 are not yet implemented."
"[P2642R6](https://wg21.link/P2642R6)","Padded `mdspan` layouts","2024-03 (Tokyo)","","","[#105425](https://github.com/llvm/llvm-project/issues/105425)",""
"[P3029R1](https://wg21.link/P3029R1)","Better `mdspan`'s CTAD","2024-03 (Tokyo)","{{Complete}}","19","[#105426](https://github.com/llvm/llvm-project/issues/105426)","Implemented as a DR against C++20 since LLVM 23."
"","","","","","",""
"[P2747R2](https://wg21.link/P2747R2)","`constexpr` placement new","2024-06 (St. Louis)","{{Complete}}","20","[#105427](https://github.com/llvm/llvm-project/issues/105427)",""
"[P2997R1](https://wg21.link/P2997R1)","Removing the common reference requirement from the indirectly invocable concepts","2024-06 (St. Louis)","{{Complete}}","19","[#105428](https://github.com/llvm/llvm-project/issues/105428)","Implemented as a DR against C++20."
"[P2389R2](https://wg21.link/P2389R2)","`dextents` Index Type Parameter","2024-06 (St. Louis)","{{Complete}}","19","[#105429](https://github.com/llvm/llvm-project/issues/105429)",""
"[P3168R2](https://wg21.link/P3168R2)","Give `std::optional` Range Support","2024-06 (St. Louis)","{{Complete}}","22","[#105430](https://github.com/llvm/llvm-project/issues/105430)",""
"[P3217R0](https://wg21.link/P3217R0)","Adjoints to 'Enabling list-initialization for algorithms': find_last","2024-06 (St. Louis)","","","[#105431](https://github.com/llvm/llvm-project/issues/105431)",""
"[P2985R0](https://wg21.link/P2985R0)","A type trait for detecting virtual base classes","2024-06 (St. Louis)","{{Complete}}","20","[#105432](https://github.com/llvm/llvm-project/issues/105432)",""
"[P0843R14](https://wg21.link/P0843R14)","`inplace_vector`","2024-06 (St. Louis)","","","[#105433](https://github.com/llvm/llvm-project/issues/105433)",""
"[P3235R3](https://wg21.link/P3235R3)","`std::print` more types faster with less memory","2024-06 (St. Louis)","","","[#105435](https://github.com/llvm/llvm-project/issues/105435)",""
"[P2968R2](https://wg21.link/P2968R2)","Make `std::ignore` a first-class object","2024-06 (St. Louis)","{{Complete}}","19","[#105436](https://github.com/llvm/llvm-project/issues/105436)",""
"[P2075R6](https://wg21.link/P2075R6)","Philox as an extension of the C++ RNG engines","2024-06 (St. Louis)","","","[#105437](https://github.com/llvm/llvm-project/issues/105437)",""
"[P2422R1](https://wg21.link/P2422R1)","Remove `nodiscard` annotations from the standard library specification","2024-06 (St. Louis)","{{Complete}}","19","[#105438](https://github.com/llvm/llvm-project/issues/105438)","`nodiscard` attributes were kept as a conforming extension"
"[P2300R10](https://wg21.link/P2300R10)","`std::execution`","2024-06 (St. Louis)","","","[#105440](https://github.com/llvm/llvm-project/issues/105440)",""
"","","","","","",""
"[P3136R1](https://wg21.link/P3136R1)","Retiring niebloids","2024-11 (Wrocław)","{{Complete}}","14","[#118133](https://github.com/llvm/llvm-project/issues/118133)",""
"[P3138R5](https://wg21.link/P3138R5)","`views::cache_latest`","2024-11 (Wrocław)","","","[#118134](https://github.com/llvm/llvm-project/issues/118134)",""
"[P3379R0](https://wg21.link/P3379R0)","Constrain `std::expected` equality operators","2024-11 (Wrocław)","{{Complete}}","21","[#118135](https://github.com/llvm/llvm-project/issues/118135)",""
"[P2862R1](https://wg21.link/P2862R1)","`text_encoding::name()` should never return null values","2024-11 (Wrocław)","{{Complete}}","23","[#118371](https://github.com/llvm/llvm-project/issues/118371)",""
"[P2897R7](https://wg21.link/P2897R7)","`aligned_accessor`: An `mdspan` accessor expressing pointer over-alignment","2024-11 (Wrocław)","{{Complete}}","21","[#118372](https://github.com/llvm/llvm-project/issues/118372)",""
"[P3355R2](https://wg21.link/P3355R2)","Fix `submdspan` for C++26","2024-11 (Wrocław)","","","[#118373](https://github.com/llvm/llvm-project/issues/118373)",""
"[P3222R0](https://wg21.link/P3222R0)","Fix C++26 by adding transposed special cases for P2642 layouts","2024-11 (Wrocław)","","","[#118374](https://github.com/llvm/llvm-project/issues/118374)",""
"[P3050R2](https://wg21.link/P3050R2)","Fix C++26 by optimizing `linalg::conjugated` for noncomplex value types","2024-11 (Wrocław)","","","[#118375](https://github.com/llvm/llvm-project/issues/118375)",""
"[P3396R1](https://wg21.link/P3396R1)","`std::execution` wording fixes","2024-11 (Wrocław)","","","[#118376](https://github.com/llvm/llvm-project/issues/118376)",""
"[P2835R7](https://wg21.link/P2835R7)","Expose `std::atomic_ref`'s object address","2024-11 (Wrocław)","{{Complete}}","22","[#118377](https://github.com/llvm/llvm-project/issues/118377)",""
"[P3323R1](https://wg21.link/P3323R1)","cv-qualified types in `atomic` and `atomic_ref`","2024-11 (Wrocław)","","","[#118378](https://github.com/llvm/llvm-project/issues/118378)",""
"[P3508R0](https://wg21.link/P3508R0)","Wording for ""constexpr for specialized memory algorithms""","2024-11 (Wrocław)","{{Complete}}","23","[#118379](https://github.com/llvm/llvm-project/issues/118379)",""
"[P3369R0](https://wg21.link/P3369R0)","constexpr for `uninitialized_default_construct`","2024-11 (Wrocław)","{{Complete}}","23","[#118380](https://github.com/llvm/llvm-project/issues/118380)",""
"[P3370R1](https://wg21.link/P3370R1)","Add new library headers from C23","2024-11 (Wrocław)","","","[#118381](https://github.com/llvm/llvm-project/issues/118381)",""
"[P3309R3](https://wg21.link/P3309R3)","constexpr `atomic` and `atomic_ref`","2024-11 (Wrocław)","","","[#118382](https://github.com/llvm/llvm-project/issues/118382)",""
"[P1928R15](https://wg21.link/P1928R15)","`std::simd` — merge data-parallel types from the Parallelism TS 2","2024-11 (Wrocław)","","","[#118384](https://github.com/llvm/llvm-project/issues/118384)",""
"[P3325R5](https://wg21.link/P3325R5)","A Utility for Creating Execution Environments","2024-11 (Wrocław)","","","[#118385](https://github.com/llvm/llvm-project/issues/118385)",""
"[P3068R6](https://wg21.link/P3068R6)","Allowing exception throwing in constant-evaluation","2024-11 (Wrocław)","","","[#118386](https://github.com/llvm/llvm-project/issues/118386)",""
"[P3247R2](https://wg21.link/P3247R2)","Deprecate the notion of trivial types","2024-11 (Wrocław)","{{Complete}}","21","[#118387](https://github.com/llvm/llvm-project/issues/118387)",""
"","","","","","",""
"[P3074R7](https://wg21.link/P3074R7)","trivial unions (was `std::uninitialized`)","2025-02 (Hagenberg)","","","[#127868](https://github.com/llvm/llvm-project/issues/127868)",""
"[P1494R5](https://wg21.link/P1494R5)","Partial program correctness","2025-02 (Hagenberg)","","","[#127869](https://github.com/llvm/llvm-project/issues/127869)",""
"[P2900R14](https://wg21.link/P2900R14)","Contracts for C++","2025-02 (Hagenberg)","","","[#127870](https://github.com/llvm/llvm-project/issues/127870)",""
"[P3475R2](https://wg21.link/P3475R2)","Defang and deprecate `memory_order::consume`","2025-02 (Hagenberg)","","","[#127871](https://github.com/llvm/llvm-project/issues/127871)",""
"[P2786R13](https://wg21.link/P2786R13)","Trivial Relocatability For C++26","2025-02 (Hagenberg)","{{NothingToDo}}","","[#127872](https://github.com/llvm/llvm-project/issues/127872)","Reverted by [P3920R0](https://wg21.link/P3920R0)"
"[P3137R3](https://wg21.link/P3137R3)","`views::to_input`","2025-02 (Hagenberg)","","","[#127873](https://github.com/llvm/llvm-project/issues/127873)",""
"[P0472R3](https://wg21.link/P0472R3)","Put `std::monostate` in `<utility>`","2025-02 (Hagenberg)","{{Complete}}","21","[#127874](https://github.com/llvm/llvm-project/issues/127874)",""
"[P3349R1](https://wg21.link/P3349R1)","Converting contiguous iterators to pointers","2025-02 (Hagenberg)","","","[#127875](https://github.com/llvm/llvm-project/issues/127875)",""
"[P3372R3](https://wg21.link/P3372R3)","constexpr containers and adaptors","2025-02 (Hagenberg)","{{InProgress}}","","[#127876](https://github.com/llvm/llvm-project/issues/127876)",""
"[P3378R2](https://wg21.link/P3378R2)","constexpr exception types","2025-02 (Hagenberg)","","","[#127877](https://github.com/llvm/llvm-project/issues/127877)",""
"[P3441R2](https://wg21.link/P3441R2)","Rename `simd_split` to `simd_chunk`","2025-02 (Hagenberg)","","","[#127878](https://github.com/llvm/llvm-project/issues/127878)",""
"[P3287R3](https://wg21.link/P3287R3)","Exploration of namespaces for `std::simd`","2025-02 (Hagenberg)","","","[#127879](https://github.com/llvm/llvm-project/issues/127879)",""
"[P2976R1](https://wg21.link/P2976R1)","Freestanding Library: `algorithm`, `numeric`, and `random`","2025-02 (Hagenberg)","","","[#127880](https://github.com/llvm/llvm-project/issues/127880)",""
"[P3430R3](https://wg21.link/P3430R3)","simd issues: explicit, unsequenced, identity-element position, and members of disabled simd","2025-02 (Hagenberg)","","","[#127881](https://github.com/llvm/llvm-project/issues/127881)",""
"[P2663R7](https://wg21.link/P2663R7)","Interleaved complex values support in `std::simd`","2025-02 (Hagenberg)","","","[#127882](https://github.com/llvm/llvm-project/issues/127882)",""
"[P2933R4](https://wg21.link/P2933R4)","Extend `<bit>` header function with overloads for `std::simd`","2025-02 (Hagenberg)","","","[#127883](https://github.com/llvm/llvm-project/issues/127883)",""
"[P2846R6](https://wg21.link/P2846R6)","`reserve_hint`: Eagerly reserving memory for not-quite-sized lazy ranges","2025-02 (Hagenberg)","","","[#127884](https://github.com/llvm/llvm-project/issues/127884)",""
"[P3471R4](https://wg21.link/P3471R4)","Standard Library Hardening","2025-02 (Hagenberg)","","","[#127885](https://github.com/llvm/llvm-project/issues/127885)",""
"[P0447R28](https://wg21.link/P0447R28)","Introduction of `std::hive` to the standard library","2025-02 (Hagenberg)","","","[#127886](https://github.com/llvm/llvm-project/issues/127886)",""
"[P3019R14](https://wg21.link/P3019R14)","`indirect` and `polymorphic`: Vocabulary Types for Composite Class Design","2025-02 (Hagenberg)","","","[#127887](https://github.com/llvm/llvm-project/issues/127887)",""
"","","","","","",""
"[P2996R13](https://wg21.link/P2996R13)","Reflection for C++26","2025-06 (Sofia)","","","[#148123](https://github.com/llvm/llvm-project/issues/148123)",""
"[P3394R4](https://wg21.link/P3394R4)","Annotations for Reflection","2025-06 (Sofia)","","","[#148124](https://github.com/llvm/llvm-project/issues/148124)",""
"[P3293R3](https://wg21.link/P3293R3)","Splicing a base class subobject","2025-06 (Sofia)","","","[#148125](https://github.com/llvm/llvm-project/issues/148125)",""
"[P3491R3](https://wg21.link/P3491R3)","`define_static_{string,object,array}`","2025-06 (Sofia)","","","[#148126](https://github.com/llvm/llvm-project/issues/148126)",""
"[P3096R12](https://wg21.link/P3096R12)","Function Parameter Reflection in Reflection for C++26","2025-06 (Sofia)","","","[#148127](https://github.com/llvm/llvm-project/issues/148127)",""
"[P2988R12](https://wg21.link/P2988R12)","`std::optional<T&>`","2025-06 (Sofia)","{{Complete}}","22","[#148131](https://github.com/llvm/llvm-project/issues/148131)",""
"[P3348R4](https://wg21.link/P3348R4)","C++26 should refer to C23 not C17","2025-06 (Sofia)","","","[#148133](https://github.com/llvm/llvm-project/issues/148133)",""
"[P3037R6](https://wg21.link/P3037R6)","`constexpr` `std::shared_ptr` and friends","2025-06 (Sofia)","","","[#148135](https://github.com/llvm/llvm-project/issues/148135)","`owner_before` and `owner_less` must remain non-`constexpr` per LWG4557."
"[P3284R4](https://wg21.link/P3284R4)","`write_env` and `unstoppable` Sender Adaptors","2025-06 (Sofia)","","","[#148136](https://github.com/llvm/llvm-project/issues/148136)",""
"[P3179R9](https://wg21.link/P3179R9)","Parallel Range Algorithms","2025-06 (Sofia)","","","[#148137](https://github.com/llvm/llvm-project/issues/148137)",""
"[P3709R2](https://wg21.link/P3709R2)","Reconsider parallel `ranges::rotate_copy` and `ranges::reverse_copy`","2025-06 (Sofia)","","","[#148138](https://github.com/llvm/llvm-project/issues/148138)",""
"[P3641R0](https://wg21.link/P3641R0)","Rename `std::observable` to `std::observable_checkpoint`, and add a feature-test macro","2025-06 (Sofia)","","","[#148139](https://github.com/llvm/llvm-project/issues/148139)",""
"[P3044R2](https://wg21.link/P3044R2)","sub-`string_view` from `string`","2025-06 (Sofia)","{{Complete}}","22","[#148140](https://github.com/llvm/llvm-project/issues/148140)",""
"[P2876R3](https://wg21.link/P2876R3)","Proposal to extend `std::simd` with more constructors and accessors","2025-06 (Sofia)","","","[#148143](https://github.com/llvm/llvm-project/issues/148143)",""
"[P3480R6](https://wg21.link/P3480R6)","`std::simd` is a range","2025-06 (Sofia)","","","[#148144](https://github.com/llvm/llvm-project/issues/148144)",""
"[P2664R11](https://wg21.link/P2664R11)","Extend `std::simd` with permutation API","2025-06 (Sofia)","","","[#148145](https://github.com/llvm/llvm-project/issues/148145)",""
"[P3691R1](https://wg21.link/P3691R1)","Reconsider naming of the namespace for `std::simd`","2025-06 (Sofia)","","","[#148148](https://github.com/llvm/llvm-project/issues/148148)",""
"[P3383R3](https://wg21.link/P3383R3)","`mdspan.at()`","2025-06 (Sofia)","{{Complete}}","23","[#148149](https://github.com/llvm/llvm-project/issues/148149)",""
"[P2927R3](https://wg21.link/P2927R3)","Inspecting `exception_ptr`","2025-06 (Sofia)","","","[#148150](https://github.com/llvm/llvm-project/issues/148150)",""
"[P3748R0](https://wg21.link/P3748R0)","Inspecting `exception_ptr` should be constexpr","2025-06 (Sofia)","","","[#148151](https://github.com/llvm/llvm-project/issues/148151)",""
"[P2830R10](https://wg21.link/P2830R10)","Standardized Constexpr Type Ordering","2025-06 (Sofia)","{{Complete}}","24","[#148152](https://github.com/llvm/llvm-project/issues/148152)",""
"[P3570R2](https://wg21.link/P3570R2)","optional variants in sender/receiver","2025-06 (Sofia)","","","[#148153](https://github.com/llvm/llvm-project/issues/148153)",""
"[P3481R5](https://wg21.link/P3481R5)","`std::execution::bulk()` issues","2025-06 (Sofia)","","","[#148155](https://github.com/llvm/llvm-project/issues/148155)",""
"[P3433R1](https://wg21.link/P3433R1)","Allocator Support for Operation States","2025-06 (Sofia)","","","[#148157](https://github.com/llvm/llvm-project/issues/148157)",""
"[P3149R11](https://wg21.link/P3149R11)","`async_scope` - Creating scopes for non-sequential concurrency","2025-06 (Sofia)","","","[#148158](https://github.com/llvm/llvm-project/issues/148158)",""
"[P3682R0](https://wg21.link/P3682R0)","Remove `std::execution::split`","2025-06 (Sofia)","","","[#148160](https://github.com/llvm/llvm-project/issues/148160)",""
"[P2079R10](https://wg21.link/P2079R10)","Parallel scheduler","2025-06 (Sofia)","","","[#148161](https://github.com/llvm/llvm-project/issues/148161)",""
"[P3557R3](https://wg21.link/P3557R3)","High-Quality Sender Diagnostics with Constexpr Exceptions","2025-06 (Sofia)","","","[#148162](https://github.com/llvm/llvm-project/issues/148162)",""
"[P3560R2](https://wg21.link/P3560R2)","Error Handling in Reflection","2025-06 (Sofia)","","","[#148128](https://github.com/llvm/llvm-project/issues/148128)",""
"[P3503R3](https://wg21.link/P3503R3)","Make type-erased allocator use in `promise` and `packaged_task` consistent","2025-06 (Sofia)","","","[#148164](https://github.com/llvm/llvm-project/issues/148164)",""
"[P3008R6](https://wg21.link/P3008R6)","Atomic floating-point min/max","2025-06 (Sofia)","","","[#148168](https://github.com/llvm/llvm-project/issues/148168)",""
"[P3111R8](https://wg21.link/P3111R8)","Atomic Reduction Operations","2025-06 (Sofia)","","","[#148174](https://github.com/llvm/llvm-project/issues/148174)",""
"[P3060R3](https://wg21.link/P3060R3)","Add `std::views::indices(n)`","2025-06 (Sofia)","{{Complete}}","22","[#148175](https://github.com/llvm/llvm-project/issues/148175)",""
"[P2319R5](https://wg21.link/P2319R5)","Prevent `path` presentation problems","2025-06 (Sofia)","","","[#148177](https://github.com/llvm/llvm-project/issues/148177)",""
"[P3223R2](https://wg21.link/P3223R2)","Making `std::istream::ignore` less surprising","2025-06 (Sofia)","{{Complete}}","22","[#148178](https://github.com/llvm/llvm-project/issues/148178)",""
"[P2781R9](https://wg21.link/P2781R9)","`std::constant_wrapper`","2025-06 (Sofia)","{{Complete}}","23","[#148179](https://github.com/llvm/llvm-project/issues/148179)",""
"[P3697R1](https://wg21.link/P3697R1)","Minor additions to C++26 standard library hardening","2025-06 (Sofia)","","","[#148180](https://github.com/llvm/llvm-project/issues/148180)",""
"[P3552R3](https://wg21.link/P3552R3)","Add a Coroutine Task Type","2025-06 (Sofia)","","","[#148182](https://github.com/llvm/llvm-project/issues/148182)",""
"[P1317R2](https://wg21.link/P1317R2)","Remove return type deduction in `std::apply`","2025-06 (Sofia)","","","[#148183](https://github.com/llvm/llvm-project/issues/148183)",""
"","","","","","",""
"[P3920R0](https://wg21.link/P3920R0)","Wording for NB comment resolution on trivial relocation","2025-11 (Kona)","{{NothingToDo}}","","[#171269](https://github.com/llvm/llvm-project/issues/171269)",""
"[P3016R6](https://wg21.link/P3016R6)","Resolve inconsistencies in begin/end for `valarray` and braced initializer lists","2025-11 (Kona)","{{Complete}}","24","[#171271](https://github.com/llvm/llvm-project/issues/171271)","Implemented as a DR against C++11. Change of `<stacktrace>` is blocked on [P0881R7](https://wg21.link/P0881R7)."
"[P3567R2](https://wg21.link/P3567R2)","`flat_meow` Fixes","2025-11 (Kona)","{{Complete}}","22","[#171272](https://github.com/llvm/llvm-project/issues/171272)",""
"[P3663R3](https://wg21.link/P3663R3)","Future-proof `submdspan_mapping`","2025-11 (Kona)","","","[#166089](https://github.com/llvm/llvm-project/issues/166089)",""
"[P3914R0](https://wg21.link/P3914R0)","Assorted NB comment resolutions for Kona 2025","2025-11 (Kona)","","","[#171274](https://github.com/llvm/llvm-project/issues/171274)",""
