descriptor_offset,token,token_id,device,flags,control,control_base,control_flags
0x0,0x008b9003,0x008b,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x008ba003,0x008b,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x008bb003,0x008b,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x008bc003,0x008b,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x008bd003,0x008b,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x008be003,0x008b,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x008bf003,0x008b,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x008c0003,0x008c,unknown,3,0x00200000,0x0020,0x0000
0x0,0x008c1003,0x008c,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x008c2003,0x008c,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x008c3003,0x008c,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x008c4003,0x008c,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x008c5003,0x008c,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x008c6003,0x008c,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x008c7003,0x008c,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x008c8003,0x008c,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x008c9003,0x008c,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x008ca003,0x008c,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x008cb003,0x008c,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x008cc003,0x008c,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x008cd003,0x008c,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x008ce003,0x008c,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x008cf003,0x008c,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x008d0003,0x008d,unknown,3,0x00200000,0x0020,0x0000
0x0,0x008d1003,0x008d,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x008d2003,0x008d,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x008d3003,0x008d,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x008d4003,0x008d,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x008d5003,0x008d,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x008d6003,0x008d,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x008d7003,0x008d,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x008d8003,0x008d,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x008d9003,0x008d,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x008da003,0x008d,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x008db003,0x008d,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x008dc003,0x008d,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x008dd003,0x008d,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x008de003,0x008d,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x008df003,0x008d,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x008e0003,0x008e,unknown,3,0x00200000,0x0020,0x0000
0x0,0x008e1003,0x008e,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x008e2003,0x008e,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x008e3003,0x008e,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x008e4003,0x008e,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x008e5003,0x008e,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x008e6003,0x008e,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x008e7003,0x008e,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x008e8003,0x008e,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x008e9003,0x008e,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x008ea003,0x008e,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x008eb003,0x008e,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x008ec003,0x008e,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x008ed003,0x008e,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x008ee003,0x008e,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x008ef003,0x008e,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x008f0003,0x008f,unknown,3,0x00200000,0x0020,0x0000
0x0,0x008f1003,0x008f,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x008f2003,0x008f,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x008f3003,0x008f,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x008f4003,0x008f,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x008f5003,0x008f,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x008f6003,0x008f,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x008f7003,0x008f,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x008f8003,0x008f,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x008f9003,0x008f,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x008fa003,0x008f,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x008fb003,0x008f,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x008fc003,0x008f,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x008fd003,0x008f,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x008fe003,0x008f,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x008ff003,0x008f,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00900003,0x0090,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00901003,0x0090,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00902003,0x0090,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00903003,0x0090,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00904003,0x0090,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00905003,0x0090,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00906003,0x0090,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00907003,0x0090,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00908003,0x0090,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00909003,0x0090,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0090a003,0x0090,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0090b003,0x0090,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0090c003,0x0090,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0090d003,0x0090,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0090e003,0x0090,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0090f003,0x0090,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00910003,0x0091,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00911003,0x0091,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00912003,0x0091,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00913003,0x0091,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00914003,0x0091,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00915003,0x0091,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00916003,0x0091,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00917003,0x0091,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00918003,0x0091,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00919003,0x0091,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0091a003,0x0091,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0091b003,0x0091,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0091c003,0x0091,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0091d003,0x0091,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0091e003,0x0091,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0091f003,0x0091,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00920003,0x0092,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00921003,0x0092,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00922003,0x0092,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00923003,0x0092,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00924003,0x0092,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00925003,0x0092,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00926003,0x0092,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00927003,0x0092,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00928003,0x0092,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00929003,0x0092,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0092a003,0x0092,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0092b003,0x0092,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0092c003,0x0092,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0092d003,0x0092,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0092e003,0x0092,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0092f003,0x0092,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00930003,0x0093,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00931003,0x0093,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00932003,0x0093,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00933003,0x0093,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00934003,0x0093,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00935003,0x0093,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00936003,0x0093,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00937003,0x0093,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00938003,0x0093,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00939003,0x0093,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0093a003,0x0093,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0093b003,0x0093,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0093c003,0x0093,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0093d003,0x0093,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0093e003,0x0093,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0093f003,0x0093,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00940003,0x0094,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00941003,0x0094,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00942003,0x0094,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00943003,0x0094,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00944003,0x0094,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00945003,0x0094,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00946003,0x0094,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00947003,0x0094,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00948003,0x0094,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00949003,0x0094,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0094a003,0x0094,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0094b003,0x0094,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0094c003,0x0094,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0094d003,0x0094,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0094e003,0x0094,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0094f003,0x0094,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00950003,0x0095,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00951003,0x0095,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00952003,0x0095,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00953003,0x0095,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00954003,0x0095,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00955003,0x0095,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00956003,0x0095,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00957003,0x0095,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00958003,0x0095,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00959003,0x0095,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0095a003,0x0095,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0095b003,0x0095,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0095c003,0x0095,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0095d003,0x0095,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0095e003,0x0095,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0095f003,0x0095,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00960003,0x0096,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00961003,0x0096,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00962003,0x0096,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00963003,0x0096,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00964003,0x0096,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00965003,0x0096,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00966003,0x0096,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00967003,0x0096,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00968003,0x0096,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00969003,0x0096,unknown,36867,0x00200000,0x0020,0x0000
